PMID,Title,Abstract,Authors,Journal,Year,URL,Review,SystematicReview,ClinicalTrial,MetaAnalysis,RCT,LongitudinalStudy
41696692,Infectious disease burden and surveillance challenges in Jordan and Palestine: a systematic review and meta-analysis.,"Jordan and Palestine face public health challenges due to infectious diseases, with the added detrimental factors of long-term conflict, forced relocation, and lack of resources. Added to these are the increased rates of morbidity and mortality from having limited healthcare services available due to a lack of funding, poor disease surveillance systems, and entrenched systemic weaknesses. The purpose of this systematic review was to report the prevalence of infectious diseases in Jordan and Palestine in order to inform the development of targeted public health programs that use both standard and novel approaches to reduce the region's disease burden. As defined by the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines, the review included prospective, retrospective, cross-sectional, and case series studies published from January 2021 to February 2024. Non-English studies were excluded due to resource limitations, as were studies published before the COVID-19 pandemic (i.e., before January 2021) to focus on post-COVID-19-pandemic trends. We used diagnostic techniques (screening, laboratory, and confirmatory tests) to test for microorganisms in adults and children from at-risk populations in Jordan and Palestine. Test-negative controls were contrasted with patients who had positive test results. A manual reference screening process was added to a systematic search of PubMed and Scopus. Full-text, English-language publications published after January 2021 were eligible; protocols, reviews, case reports, and articles written in languages other than English were not. The Rayyan platform was used by two reviewers to independently screen studies. Infection type, causative microorganism, symptoms, mortality, risk factors, seasonal fluctuations, and study details (author, year, location, design, and participant characteristics) were among the extracted data. The Hoy 2012 Checklist was used to evaluate the risk of bias. Open Meta (Analyst) was used to analyze the 13 studies that satisfied the inclusion criteria. Study design, risk of bias, heterogeneity, publication bias, indirection, imprecision, effect size, and residual confounding were all considered when grading the quality of the evidence using the Grading of Recommendations, Assessment, Development, and Evaluation (GRADE) approach. The results revealed that four studies addressed the prevalence of <i>Brucella</i> infection in Jordan and Palestine. The pooled estimate was 42.2% (95% CI: 18.8%-65.6%, <i>I</i> <sup>2</sup>: 99.7%, <i>P:</i> 0.001, <i>n</i> = 4 studies, 4,483 patients). In the studies that addressed diarrhea, in 31 of 159 (19.5%) cases, 20 were caused by <i>Entamoeba</i> (12.6%), 10 were caused by <i>Blastocystis</i> (6.3%), and 1 (0.6%) was caused by <i>Cryptosporidium</i>. As some cases had more than one parasite, the certainty of evidence (COE) was assessed as very low. The pooled estimate for viral causative agents of respiratory tract infections was 60% (95% CI: 11.8%-100%), while for bacterial causes, the pooled estimate was 24.4% (95% CI: 0%-68.3%). Respiratory syncytial virus (RSV) was the most common agent, with a pooled estimate of 57.9% (95% CI: 29.8%-85.9%), while influenza had a pooled estimate of 28.4% (95% CI: 5.3%-51.5%). Furthermore, two studies addressed the prevalence of meningitis in pediatric patients. In adult patients, of 192 patients known to have meningitis, a causative agent was identified in only 86 cases, with 83 (49%) classified as aseptic meningitis. The review addressed the limitations of diagnostic capacity, reporting systems, and population-level data concerning high-burden and emerging pathogens within Jordan and Palestine. Specifically, the growth in the number of cases with respiratory tract infections, protozoal diarrheal diseases, and brucellosis indicates that improvements in surveillance systems and diagnostic processes need to be standardized and implemented throughout Jordan and Palestine to provide accurate and reliable diagnoses. In addition, improving the quality and quantity of the data and incorporating new technologies and other innovative approaches as a complement to existing public health indicators within Jordan and Palestine would be beneficial for better detecting these diseases at the earliest possible time and would provide the opportunity to establish evidence-based disease management strategies within the region.",Badran EF; Rayyan A; Al Jaberi M; Azzam M; Ramadan R; Khader Y; Alqutob R; Bakri FG; Qasrawi R; Yacoub T; Sharaqa A; Fraihat N; Trigui H; Sokhn E; Tayyem R; Musa E; Kong JD,Frontiers in digital health,2026,https://pubmed.ncbi.nlm.nih.gov/41696692/,1,0,0,0,0,0
41690736,"Utilizing artificial intelligence to enhance sustainable high-quality food production: Current state, challenges, and future directions.","Food science today has undergone a profound change with the increasing impact of analyzing heterogeneous multimodal data with artificial intelligence (AI). The adoption of ubiquitous sensors, cameras, and mobile apps in agriculture, food production, food processing, transportation, and personal nutrition monitoring can record vast multimodal data, such as tabular, image, text, omics, sensors, social media, transactions and trade data. The analysis of such multimodal data is usually achieved by AI-based food science and nutrition systems (AIFNS) through the following pipeline: data preprocessing, segmentation, dimensionality reduction, classification, or clustering. When multiple data sources are available for the same prediction task, data fusion strategies can also be employed. To ensure that this new generation of intelligent systems for food science and nutrition can better serve both industry and society, further research is needed to ensure that they operate ethically, transparently, inclusively, and safely across borders.",Dalakleidi KV; Pemaj V; Kapolos J; Drosinos EH; Papadimitriou K,Advances in food and nutrition research,2025,https://pubmed.ncbi.nlm.nih.gov/41690736/,1,0,0,0,0,0
41660393,Advances in pediatric video capsule endoscopy: current applications and future directions.,"Video capsule endoscopy (VCE) has revolutionized the evaluation of small bowel pathology, offering a safe, non-invasive, radiation-free diagnostic modality with broad clinical utility. Patency capsule use has further improved safety by minimizing the risk of retention in patients with suspected strictures. Since its introduction, its applications have expanded from obscure gastrointestinal bleeding and Crohn's disease to celiac disease, polyposis syndromes, and small bowel tumors among other indications. Emerging artificial intelligence (AI) integration promises to enhance diagnostic accuracy, streamline image analysis, and reduce interobserver variability. Furthermore, advancements in capsule design, including magnetic-assisted navigation and extended battery life, enable precise control and complete small bowel evaluation, even in cases of delayed gastrointestinal motility. High-definition imaging further allows for the identification of subtle mucosal abnormalities, such as vascular lesions, inflammation, and erosions, that might otherwise go undetected. Beyond diagnosis, novel applications, such as motility capsule studies and wireless capsule drug delivery systems, are unlocking new possibilities for functional and therapeutic interventions. Future innovations combining diagnostic and interventional capabilities promise to reduce the need for invasive procedures, optimize outcomes, and significantly enhance the quality of life for pediatric patients.",Rojas I; Barth BA; Stewart JW,Frontiers in pediatrics,2026,https://pubmed.ncbi.nlm.nih.gov/41660393/,1,0,0,0,0,0
41647536,"Harnessing multi-omics and machine learning for predicting immune checkpoint blockade responses: Advances, challenges, and future directions.","Immune checkpoint blockade (ICB) therapies have revolutionized cancer treatment, showing success across various cancer types. However, there is variability in response rates among different cancers and individual patients. This highlights the critical need for precise patient stratification. Machine Learning and Deep Learning models are increasingly utilized to predict ICB responses by integrating multi-omics data, such as clinical, genomic, radiomic, and transcriptomic information. This review outlines the key methodologies of these predictive models. It underscores their role in enhancing response prediction. We delve into the advanced mechanisms of ICB response and discuss the biological foundations that inform these models. This demonstrates how basic research informs clinical application. We aim to offer comprehensive insights into how artificial intelligence can optimize patient stratification for ICB therapy.",Cao S; Liu J; Li Y,Fundamental research,2025,https://pubmed.ncbi.nlm.nih.gov/41647536/,1,0,0,0,0,0
41622006,"Foundations of Clinical Informatics for Generalists: Exploring the History, Core Concepts, and Current State of Informatics in Healthcare.","The computerization of medical records began in the early 1960s and progressed steadily until federal mandates in the early 2000s triggered rapid electronic health record (EHR) adoption. While technically successful, these systems lacked the cultural and educational integration necessary for effective clinical workflows, underscoring the need for the medical specialty of clinical informatics. Its core domains include health information systems, data management and analytics, clinical decision support, interoperability and health information exchange, and privacy and security. The field continues to expand rapidly as EHRs mature and new artificial intelligence modalities emerge.",Patel S; Mezoff EA; Rust L,The Medical clinics of North America,2025,https://pubmed.ncbi.nlm.nih.gov/41622006/,1,0,0,0,0,0
41606937,Recent advances in electrochemical-based CRISPR/Cas biosensing for nucleic acid and non-nucleic acid pathogenic microorganism detection.,"The widespread presence of pathogenic microorganisms in food and environmental sources poses a persistent threat to public health. Conventional detection methods-including culture, microscopy, and biochemical assays-are limited by low sensitivity, cross-reactivity, and prolonged turnaround times, particularly when microbial loads are low or phenotypic overlap occurs. These limitations underscore the urgent need for diagnostic platforms that combine speed, specificity, and sensitivity. The advent of CRISPR/Cas (Clustered Regularly Interspaced Short Palindromic Repeats/CRISPR-associated) systems has revolutionized microbial diagnostics, driving the emergence of electrochemical CRISPR/Cas (EC-CRISPR/Cas) biosensors. This review surveys four principal electrochemical CRISPR/Cas (EC-CRISPR/Cas) platforms-Cas9, Cas12a, Cas13a, and Cas14a-emphasizing their structural characteristics, biosensing mechanisms, and signal amplification strategies for both nucleic acid and non-nucleic acid pathogen detection. We first outline the molecular architecture and functional mechanisms of each Cas protein in the context of biosensing. EC-CRISPR/Cas detection strategies are classified as nucleic acid-based (either amplification-free or amplification-dependent) or non-nucleic acid-based, the latter primarily relying on aptamer-mediated recognition. We also provide a comparative analysis of signal enhancement techniques and application scenarios across bacterial, viral, fungal, and parasitic pathogens. Importantly, we identify key limitations of current systems-such as poor reusability, signal drift, and challenges in point-of-care deployment-and present emerging solutions including crRNA engineering, nanomaterial integration, and artificial intelligence-guided biosensor design. These innovations hold strong potential to enhance sensitivity, specificity, and real-time performance, offering a foundation for next-generation, scalable EC-CRISPR/Cas diagnostics.",Jiang W; Zhu T; Zhou S; Pan L; Qiao Z; Wang M; Yang D,"Food research international (Ottawa, Ont.)",2025,https://pubmed.ncbi.nlm.nih.gov/41606937/,1,0,0,0,0,0
41606923,AI-based smart pretreatment of fresh fruits and vegetables before processing: Research progress and application prospects.,"Pretreatment of fruits and vegetables (F&V) is a crucial step in processing, and it directly affects the quality, taste, nutrition retention and production efficiency of subsequent processed products. Traditional pretreatment technology for F&V mostly relies on manual experience and simple mechanical operations, leading to problems such as low efficiency and difficult to guarantee accuracy. Integrating artificial intelligence (AI) into F&V pretreatment is anticipated to overcome the limitations of traditional technology. This paper introduces several major AI technologies, such as machine learning (ML), deep learning (DL), and artificial neural networks (ANN), as well as their related application scenarios, such as computer vision system (CVS) and electronic nose (E-nose). And it reviews the research progress and application prospect of AI in the pretreatment for F&V, such as sorting, grading, cleaning, peeling, cutting, color protection, blanching. At present, AI technology can realize automatic sorting, accurate identification of F&V defects, and prediction and optimization of related parameters. These fully demonstrate the application potential of AI in F&V processing. In the future, as multidisciplinary integration deepens, AI is expected to realize the automatic control of pre-processing integration, thereby promoting the intelligent advancement of F&V processing industry. This study provides theoretical basis and practical reference for further exploring the application of AI in F&V processing pretreatment.",Zhou Y; Zhang M; Huang J; Law CL,"Food research international (Ottawa, Ont.)",2025,https://pubmed.ncbi.nlm.nih.gov/41606923/,1,0,0,0,0,0
41602876,The utility of artificial intelligence in visualization of pediatric gastrointestinal mucosa.,"The utilization of artificial intelligence (AI) is rapidly expanding in all areas of medicine. Pediatric gastroenterology is among the fields exploring the use of AI to better visualize the gastrointestinal tract and improve diagnosis, disease subtyping, lesion detection, risk prediction, and treatment optimization for better patient outcomes. AI shows promising developments and applications in complex diseases, such as Crohn's disease, polyposis syndromes, and eosinophilic esophagitis, where diagnosis and initial or subsequent management are impacted by mucosal visualization and analysis. This article summarizes how AI, machine learning, and these complex networks work in addition to addressing the limitations and ethical challenges faced with use of this budding technology. Although most available information on this topic comes from adult literature, this discussion focuses on current and emerging pediatric research and applications of AI in pediatric diagnostic and interventional endoscopy.",Stewart JW; Barth BA; Rojas I,Frontiers in pediatrics,2026,https://pubmed.ncbi.nlm.nih.gov/41602876/,1,0,0,0,0,0
41539835,Edible mRNA platforms: The next frontier in precision functional foods.,"The tendency toward functional foods is moving not toward the fixed intake of nutrient supplementation but toward dynamic biological regulation. Nanocarriers of edible mRNA are disruptive technologies, whereby foods may serve as bioreactors to induce temporary, targeted delivery of genes without posing the threat of genomic integration. The review is the summation of 156 peer-reviewed papers (2022--2025) and industrial reports to evaluate the bases of the technology, translational prospects, and social implications of edible mRNA systems in functional foods. It is used in the fields of immunomodulation, metabolism regulation, scalable production and ethical nutrition. mRNA delivery structures, including plant lipid droplets and chitosan-alginate structures, facilitate oral stability and intestinal control. IL-10 mRNA has been used in the management of IBD, whereas FGF21 mRNA has been used to treat obesity, and milk exosome-based immune priming has been used. Although there are challenges such as mRNA degradation during processing and uncertain regulatory mechanisms, edible mRNA systems have benefits over traditional nutritional supplements, such as shorter developmental cycles and low costs. The given review offers a roadmap with the help of which it is possible to combine green synthesis, the principles of a circular economy, and AI-based personalization, which allows making mRNA foods potentially scalable answers to sustainable precision nutrition.",Liu Y; Wang L; Jin W; Pei J; Abd El-Aty AM,"Food research international (Ottawa, Ont.)",2025,https://pubmed.ncbi.nlm.nih.gov/41539835/,1,0,0,0,0,0
41539783,"A comprehensive review of essential oils in food systems: transformative insights into extraction, chemistry, industrial innovation, and future frontiers.","Essential oils (EOs), complex volatile compounds derived from aromatic plants, are experiencing a profound resurgence driven by consumer demand for natural products and sustainable green chemistry. Chemically complex, comprising terpenes, terpenoids, and phenylpropanoids, EOs exhibit potent antioxidant, anti-inflammatory, and neuroprotective properties, underscoring their value as natural preservatives and therapeutic agents. Driven by the limitations of conventional methods, novel and green extraction techniques have emerged. This review provides a transformative synthesis of recent advancements across the EO field, highlighting the critical interplay between botanical origins, biosynthetic pathways, and extraction technologies in determining oil yield, composition, and bioactivity. A significant focus is placed on the technological evolution from conventional methods like hydrodistillation to innovative and green extraction techniques including supercritical fluid extraction (SFE), microwave-assisted extraction (MAE), and ultrasound-assisted extraction (UAE). These techniques offer superior efficiency, lowered extraction interval, enhanced selectivity, diminished degradation, better preserve thermolabile bioactive compounds, and environmental sustainability. Across food and allied systems, applications of EOs are vast and expanding, spanning natural preservatives and flavorings in food, active ingredients in dermocosmetics, therapeutic agents in pharmaceuticals, and biopesticides in agriculture. Overcoming inherent challenges like volatility and poor solubility is being achieved through advanced formulation strategies, particularly nanoencapsulation, which improves stability, bioavailability, and controlled release. Finally, we delineate future frontiers, emphasizing the role of omics technologies for breeding superior chemotypes, AI-driven optimization of extraction processes, and the need for robust clinical trials to validate health claims.",Yohannis E; Urugo MM; Hassan SM; Teka TA; Getachew P; Bacha K,"Food research international (Ottawa, Ont.)",2025,https://pubmed.ncbi.nlm.nih.gov/41539783/,1,0,0,0,0,0
