PMID,Title,Abstract,Authors,Journal,Year,URL,Review,SystematicReview,ClinicalTrial,MetaAnalysis,RCT,LongitudinalStudy
41539810,Microbial succession-potential influence mechanism on flavor modulation in spontaneously fermented Moringa oleifera leaves: An integrative multi-omics approach.,"In this study, the relationship between flavor composition and microbial succession in Moringa oleifera pickles (MOPs) at different stages of spontaneous fermentation was systematically investigated. The results demonstrated a significant increase in the content of organic acids and amino acids during fermentation including malonic acid, citric acid, valine (Val), and asparagine (Asn). These compounds not only enhanced the overall flavor profile but also provided favorable nutritional conditions that supported microbial succession. Furthermore, an integrated aroma network was established through the combined application of gas chromatography-mass spectrometry (GC-MS) and gas chromatography-ion mobility spectrometry (GC-IMS). GC-MS identified key aroma-active compounds such as ethyl caproate (fruity note), 3-hexenal (green, grassy note), and 2-phenylethanol (floral, rosy note). Complementarily, GC-IMS confirmed that esters, alcohols, and terpenes were the major contributors to fruit-like, mushroom-like, and fresh herbal aromas, indicating their critical role as flavor-modulating compounds throughout fermentation. Metagenomic analysis revealed Corynebacterium, Escherichia, Pseudomonas, Xanthomonas, and Pantoea as the dominant microbial genera involved in fermentation. These microbes primarily participated in amino acid, carbohydrate, and nucleotide metabolism and exhibited a close association with the formation of key flavor compounds. The strong influence of microbial succession on flavor evolution is likely driven by the observed correlations between microbial taxa and volatile organic compounds (VOCs). These correlations may stem from a series of complex ecological and metabolic interactions, including substrate competition, niche adaptation, and upstream-downstream dependencies within microbial metabolic networks. This study provides a theoretical foundation for the quality control of MOPs and the mitigation of potential pathogenic microorganisms, thereby supporting its application in enhancing product quality and consumer sensory satisfaction in the pickle industry.",Liu Y; Guo Y; Mu H; Aaqil M; Zhang F; Zheng J; Sheng J; Tian Y; Zhao C,"Food research international (Ottawa, Ont.)",2025,https://pubmed.ncbi.nlm.nih.gov/41539810/,0,0,0,0,0,0
41515222,Influence of APOE4 Genotypes on Nutrient-Cognition Relationship in Taiwanese Older Adults: Longitudinal Findings from the HALST.,"<b>Background</b>: Older adults carrying the APOE4 allele are at elevated risk for cognitive decline. To clarify how dietary patterns may influence cognitive deterioration in this high-risk group, further investigation is needed. <b>Methods</b>: This prospective cohort study followed 1420 Taiwanese adults aged 65 years or older. Dietary intake was assessed using a validated food frequency questionnaire, and cognitive function was measured with the Mini-Mental State Examination (MMSE). Changes in 31 nutrients between two survey waves were used to simulate the effect of dietary shifts, and dietary patterns were derived using principal component analysis (PCA) with oblimin-derived scores. The analysis was further stratified by APOE genotype, and multiple linear regression models adjusted for demographic and health-related factors were applied to evaluate the associations between dietary changes and cognitive function. <b>Results</b>: Positive associations between dietary change and MMSE scores were observed only among APOE4 carriers. In this group, lower adherence to a plant-based pattern (TC1, estimate = 0.115, 95% CI = 0.029, 0.201) and higher adherence to an animal- and fat-rich pattern (TC2, estimate = -0.119, 95% CI = -0.202, -0.035) were both associated with poorer cognitive performance. <b>Conclusions</b>: APOE4 carriers may be particularly sensitive to dietary patterns, suggesting that genotype-informed nutritional strategies could help preserve cognitive health in older adults.",Lai RH; Yang SJ; Hsu PY; Chen YC; Chuang SC; Hsu CC; Hsiung CA; Kuo FL,Nutrients,2025,https://pubmed.ncbi.nlm.nih.gov/41515222/,0,0,0,0,0,1
41475244,The study of functional properties of kiwifruit peel dietary fiber and the bioactivity as well as synergetic prebiotic effects of bound phenolics in it during in vitro gastrointestinal digestion and colonic fermentation.,"The structure, functional performance of soluble and insoluble Kiwifruit (Actinidia chinensis Planch) peel dietary fiber (KPDF) as well as abundant bound phenolics (BPs) in them were systematically investigated. It turned out that KPDF conserved outstanding capacities in adsorption and cation exchange. 23 BPs were identified in KPDF, most of which were inaccessible during in vitro gastrointestinal digestion but up to 27.10 % and 57.89 % BPs were released form insoluble and soluble KPDF after 24 h and 12 h colonic fermentation, respectively. Meanwhile, KPDF promoted the reproduction of beneficial bacteria such as Prevotella, Dialister, Faecalibacterium, while reducing the abundances of harmful bacteria such as Collinsella, Dorea, and Gemmiger with BPs contributing to such features. Such results reflected the promoting effects of BPs in the prebiotic effects of functional KPDF, providing theoretical foundation for the further exploration of KPDF as functional nutritional factors in health promotion.",Hou C; Yu J; Ji M; Chen Y; Liu C; Zhang W; Yu H; Xu C; Zhou X; Sun L; Liu X; Wang Y,Food chemistry,2025,https://pubmed.ncbi.nlm.nih.gov/41475244/,0,0,0,0,0,0
41422458,High intestinal iron absorption induced by decreased hepcidin leads to imbalance of iron metabolism in aging mice.,"Iron homeostasis which is primarily regulated through intestinal iron absorption, is usually disrupted in the elderly. But changes of intestinal iron absorption with aging have not been elucidated. This study aims to investigate the role of intestinal iron absorption in driving age-related disruption of iron homeostasis. Male C57BL/6 J mice aged 2, 12, 18, and 24 months were utilized in this study to analyze age-related changes in systemic iron status, detect the alterations in intestinal iron absorption via Ussing Chamber, and clarify its regulatory mechanisms during aging via western blot and RT-qPCR. Results showed that iron deposition occurred in the liver, heart, brain, spleen, and kidney with age. Furthermore, intestinal iron absorption elevated in aged mice, particularly in the duodenum, which was accompanied by upregulated DMT1 and FPN. As FPN is the only known iron exporter in enterocytes, the upregulation of FPN was considered as the key factor of higher iron absorption during aging. Then factors influencing FPN expression were determined. It was found that serum hepcidin and hepatic Hamp mRNA levels significantly decreased. And a reduction of over 40% in p-SMAD1/5/8 which is a transcriptional regulator of hepcidin was observed. Overall, these findings suggested that the downregulation of p-SMAD is a key factor limiting the transcription of hepcidin during aging, then increased the expression of intestinal FPN, further resulting in increased iron absorption and iron homeostasis imbalance. This study demonstrated that dysregulation of the hepcidin production during aging is a key driver of iron homeostasis disruption in the elderly, representing a target for precision intervention.",Qiu L; Xiong W; Qin X; Zhou J; Zhu Y; Wang X,Biogerontology,2025,https://pubmed.ncbi.nlm.nih.gov/41422458/,0,0,0,0,0,0
41374081,Linking Personality Traits to Mediterranean Diet Adherence and Exploring Gene-Diet Interactions in Neuroticism.,"There is adherence to a healthy Mediterranean diet (MedDiet), but adherence varies widely. Precision nutrition is increasingly interested in individual characteristics influencing diet adherence, but few studies have examined personality traits. Our main aim was to investigate the association between personality traits and MedDiet adherence. Our secondary aims were to explore genome-wide genetic variants associated with neuroticism, including replication of previous findings, as well as to explore gene-MedDiet interactions. We analyzed participants (aged 55-75) in the PREDIMED-Plus-Valencia study and measured clinical, lifestyle, and genetic factors. The Eysenck Personality Questionnaire-Revised (EPQ-R) was used to measure neuroticism, psychoticism, and extraversion. Genotyping was undertaken, and associations with candidate SNPs, genome-wide association studies (GWAS), genetic risk scores (GRS), and gene-MedDiet interactions were explored. Neuroticism was inversely (beta = -0.09; <i>p</i> = 0.001) associated with adherence to the Mediterranean diet (MEDAS-17). Likewise, the probability of low MedDiet adherence increased neuroticism (OR: 1.27; 95% CI: 1.02-1.60; <i>p</i> = 0.031 per SD). In the GWAS for this trait, several SNPs surpassed the suggestive level of statistical significance. The most strongly associated was rs10181407-<i>NDUFA10</i> (NADH dehydrogenase 1 alpha subcomplex subunit 10) (beta = -2.39; <i>p</i> = 2.70 × 10<sup>-6</sup>). The GRS for neuroticism was significantly associated with MedDiet adherence (beta = -0.18; <i>p</i> = 0.020), increasing the causality level. We replicated some candidate SNPs, and among them, the rs2243873-<i>EHMT2</i> (euchromatic histone lysine methyltransferase 2) gene. The analysis of gene-MedDiet interactions revealed the role of these dietary modulations. Neuroticism was the personality trait most inversely associated with MedDiet adherence, suggesting its integration in precision nutrition analysis. Moreover, neuroticism-related genetics and MedDiet modulations will also be important.",Sorlí JV; Ortega-Azorín C; Coltell O; Fernández-Carrión R; Asensio EM; Portolés O; Perez-Fidalgo A; Ramirez-Sabio JB; Guillem-Saiz J; Costa JA; Gimenez-Alba IM; Barragán R; Ordovas JM; Corella D,Nutrients,2025,https://pubmed.ncbi.nlm.nih.gov/41374081/,0,0,0,0,0,0
41365911,Microbiome-dependent functional responses to structurally distinct oligosaccharides revealed by metaproteomics.,"Dietary oligosaccharides are prebiotics that fuel gut microbes, but individual microbiomes may respond differently depending on oligosaccharide structures as well as microbiome composition and function. The extent to which specific gut microbial communities exhibit personalized functional responses to distinct oligosaccharides remains underexplored. We applied a standardized ex vivo microbiome culture, called RapidAIM, coupled with metaproteomics to examine how six structurally diverse oligosaccharides affect the gut microbiota functional response. Our study shows that while human gut microbiomes share some commonalities in utilizing oligosaccharides (e.g. prioritizing dietary fibers over mucin), the fine-scale metabolic and taxonomic responses are highly individualized. Such findings underscore the importance of considering personal microbiome profiles when predicting the outcome of prebiotic interventions. In a broader context, our metaproteomic approach provides a framework for identifying optimal prebiotic choices tailored to individual microbiomes. Ultimately, understanding these personalized responses could inform precision nutrition strategies.",Zhang A; Wu Q; Mayne J; Ning Z; Qin H; Dewar A; Figeys D,NPJ biofilms and microbiomes,2025,https://pubmed.ncbi.nlm.nih.gov/41365911/,0,0,0,0,0,0
41354681,Tissue-resident microbiota impacts colorectal cancer progression and prognosis.,"To deepen the understanding of tissue-resident microbiota in colorectal cancer (CRC), we analyzed whole-genome and transcriptome data from 937 patients. We identified 249 genera and 361 species commonly present in both tumors and adjacent normal tissues (NATs). Distinct microbial signatures were associated with anatomical location, tumor stages, hypermutation status, mutations in CRC driver and DNA damage repair genes, as well as consensus molecular subtypes (CMSs). Notably, the presence of the pks island and elevated abundance of Enterobacteriaceae were linked to poor prognosis specifically in CMS2 tumors. Finally, microbial risk scores derived from taxa present in tumor or NATs predicted patient prognosis independently of established clinico-molecular factors. Prognostic taxa were strongly associated with tumor transcriptomic pathways related to hypoxia, immune response, and metabolic status. These findings revealed the heterogeneity of tissue-resident microbiota and their critical role in CRC progression, highlighting potential avenues for targeted intervention.",Shi Z; Ren H; Lin C; Li F; Wu M; Yang F; Luo T; Nunes L; Isaksson A; Hammarström K; Zhu T; Zhu S; Zhong Y; Ljuslinder I; Uhlén M; Palmqvist R; Glimelius B; Wu K; Sjöblom T; Zhong H,Nature communications,2025,https://pubmed.ncbi.nlm.nih.gov/41354681/,0,0,0,0,0,0
41352811,Low-cholesterol egg yolk lipids alleviated the development of atherosclerosis in ApoE <sup>-/-</sup> mice by regulating bile acid metabolism and gut microbiota.,"Atherosclerosis (AS), a major cardiovascular disease driver, can be caused by high levels of serum cholesterol. Eggs are the main source for dietary cholesterol, and although epidemiological studies reported no association between egg intakes and cardiovascular diseases, dietary cholesterol intake is still restricted for individuals with dyslipidemia. This study evaluated the effects of egg yolk lipids isolated from low-cholesterol (LC) and normal eggs (NC) on the progression of AS using the ApoE<sup>-/-</sup> mice at doses corresponding to one (L) or two (H) eggs daily in human. After the 8-weeks' intervention with LC, the aortic plaque areas were significantly reduced, along with the alleviation of oxidative stress by elevating aortic SOD activity. Serum contents of TC and LDL-C were significantly decreased in LC-H group, as well as the pro-inflammatory TNF-α, IL-1β and relative expression of adhesion molecules (ICAM-1, VCAM-1). Lipidomics revealed that PE contents in LC significantly increased while PC decreased compared with NC, leading to the increases in serum contents of DHA-rich PE. LC intervention inhibited hepatic cholesterol synthesis by upregulating LDLR and CYP7A1, enhanced LDL-C clearance and conversion to bile acids, with a significantly increase in UDCA and TUDCA while decrease in LCA and DCA. These bioactivities of LC were related to the enrichment of Lactobacillus and Akkermansia and decrease of Rikenella and Faecalimonas. Our studies first give direct evidence for evaluating the health effects of eggs, especially eggs with reduced contents of cholesterol, which laid a theoretical foundation for defining the target populations of low-cholesterol eggs.",Cheng L; Zhang M; Wu F; Dong J; Wang Y; Dong L; Ma Y; Zheng C; Wang Z; Li Y; Wang R; Ren F; Fang B,"Food research international (Ottawa, Ont.)",2025,https://pubmed.ncbi.nlm.nih.gov/41352811/,0,0,0,0,0,0
41327482,Butyrate-producing commensal bacteria confers colon immune defense function via enhancing H4K31 Crotonylation of macrophages.,"The mechanisms by which microbiota from disease-resistant populations or animals improve intestinal immune defense remain incompletely elucidated. Tibetan pig, a renowned disease-resistant breed, serve as a valuable research subject for the health of humans and economic animals. In this study, fecal microbiota transplantation from Tibetan piglets into mice conferred enhanced resistance to C. rodentium DBS100. Further microbiota profiling and metabolomics analysis showed this protection may be partly ascribed to C. butyricum SLZX19-05 in recipients' colon. Administration of C. butyricum SLZX19-05 to germ-free mice resulted in the significantly increased lysozyme expression within colonic macrophages, subsequently bolstering the resistance to C. rodentium infection. In mice and piglets, this C. butyricum similarly elevated the lysozyme level in colon and decreased diarrhea incidence. Conversely, lyz1-knockout heightened mice's susceptibility to C. rodentium, highlighting lysozyme's critical role in immune defense. Mechanistically, this study systematically revealed that C. butyricum enhanced lysozyme expression by inhibiting mTORC1-HDAC3/8 pathway, leading to the increased H4K31 Crotonylation (H4K31Cr) and openness of an upstream region of lyz1 promoter via butyrate in macrophages. Additionally, H4K31-mutant mice showed the leukopenia, further validating the significance of H4K31Cr in immune regulation. Collectively, mTORC1-HDAC3/8-H4K31Cr pathway is a key mechanism by which butyrate-producing commensal bacteria enhance immune defense in gut. This discovery provides a novel foundation for the screening and application of the next generation of butyrate-producing probiotics. Video Abstract.",Wu J; Guo P; Wang M; Men Z; Lin Z; Wang J; Zhang S; Zhou M; Zhao J; Liu H; Ma X,Microbiome,2025,https://pubmed.ncbi.nlm.nih.gov/41327482/,0,0,0,0,0,0
41326679,A plasmid-borne gadRCB operon contributes to acid tolerance in Lactiplantibacillus plantarum ZR79.,"The glutamate decarboxylase (GAD) system catalyzed the conversion of L-glutamate to gamma-aminobutyric acid (GABA) in a proton-consuming reaction, which played a critical role to maintain intracellular pH homeostasis. However, the genetic organization and functional roles of GAD system in Lactiplantibacillus plantarum remain incompletely understood. In this study, L. plantarum ZR79, a GABA-producing strain, was successfully screened from 120 L. plantarum strains based on gas production and pH increase after 48-h fermentation. Comparative genomic analysis revealed that only L. plantarum ZR79 harbors two glutamate decarboxylases encoded by gadA and gadB, respectively. Insertional inactivation of the gadB gene abolished the ability to synthesize GABA, suggesting that the gadB gene plays a critical role in GABA biosynthesis in L. plantarum ZR79. The complete genome sequencing analysis combined with RT-PCR revealed that the gadB gene was located on the plasmid pZR79, which was co-transcribed with gadR and gadC. Plasmid stability assays revealed that pZR79 was stably maintained in ZR79 over 200 generations. Furthermore, acid stress survival assays confirmed that gadB-mediated GABA production contributes to the acid tolerance of L. plantarum ZR79. This study provides the first evidence of a plasmid-encoded gadRCB operon in L. plantarum, offering new insights into the strain-specific genetic basis of GABA biosynthesis and its physiological role in acid stress resistance. KEY POINTS: • L. plantarum ZR79 harbors two distinct glutamate decarboxylase-encoding genes, gadA and gadB, with the gadB gene cluster located on its plasmid pZR79. • Insertional inactivation of the gadB gene abolished the ability of L. plantarum ZR79 to synthesize GABA. • The gadB gene increased the survival ability in L. plantarum ZR79 under acidic conditions.",Fan C; Cao Z; Liu X; Hao Y; Zhai Z; Hao Y,Applied microbiology and biotechnology,2025,https://pubmed.ncbi.nlm.nih.gov/41326679/,0,0,0,0,0,0
