PMID,Title,Abstract,Authors,Journal,Year,URL,Review,SystematicReview,ClinicalTrial,MetaAnalysis,RCT,LongitudinalStudy
41539835,Edible mRNA platforms: The next frontier in precision functional foods.,"The tendency toward functional foods is moving not toward the fixed intake of nutrient supplementation but toward dynamic biological regulation. Nanocarriers of edible mRNA are disruptive technologies, whereby foods may serve as bioreactors to induce temporary, targeted delivery of genes without posing the threat of genomic integration. The review is the summation of 156 peer-reviewed papers (2022--2025) and industrial reports to evaluate the bases of the technology, translational prospects, and social implications of edible mRNA systems in functional foods. It is used in the fields of immunomodulation, metabolism regulation, scalable production and ethical nutrition. mRNA delivery structures, including plant lipid droplets and chitosan-alginate structures, facilitate oral stability and intestinal control. IL-10 mRNA has been used in the management of IBD, whereas FGF21 mRNA has been used to treat obesity, and milk exosome-based immune priming has been used. Although there are challenges such as mRNA degradation during processing and uncertain regulatory mechanisms, edible mRNA systems have benefits over traditional nutritional supplements, such as shorter developmental cycles and low costs. The given review offers a roadmap with the help of which it is possible to combine green synthesis, the principles of a circular economy, and AI-based personalization, which allows making mRNA foods potentially scalable answers to sustainable precision nutrition.",Liu Y; Wang L; Jin W; Pei J; Abd El-Aty AM,"Food research international (Ottawa, Ont.)",2025,https://pubmed.ncbi.nlm.nih.gov/41539835/,1,0,0,0,0,0
41515177,Thyroid-Microbiome Allostasis and Mitochondrial Performance: An Integrative Perspective in Exercise Physiology.,"Exercise acts as a physiological stimulus, requiring precise coordination among endocrine, microbial, and mitochondrial systems to maintain metabolic stability through allostatic regulation. The goal of the article is to integrate multidisciplinary evidence to characterize the thyroid-microbiome-mitochondrial axis as a key regulator of the allostatic state in athletic physiological response. During acute, chronic, and overload training phases, the thyroid-microbiome-mitochondrial axis operates bidirectionally, coupling microbial signaling with endocrine and mitochondrial networks to mediate metabolic response to exercise. This response shows interindividual variability driven by sex, age, genetics, and nutritional status, shaping the boundaries between adaptive efficiency and allostatic overload. Microbial metabolites, such as short-chain fatty acids (SCFA) and secondary bile acids, modulate deiodinase activity, bile acid recycling, and mitochondrial biogenesis through AMPK-SIRT1-PGC1α signaling, optimizing substrate use and thermogenic capacity. Thyroid hormones reciprocally regulate gut motility, luminal pH, and bile secretion, maintaining microbial diversity and mineral absorption. Under excessive training load, caloric restriction, or inadequate recovery, this network becomes transiently unbalanced: SCFA synthesis decreases, D3 activity increases, and a reversible low-T<sub>3</sub>/high-rT<sub>3</sub> pattern emerges, resembling early Hashimoto- or Graves-like responses. Selenium-, zinc-, and iron-dependent enzymes form the redox link between microbial metabolism, thyroid control, and mitochondrial defense. In conclusion, the thyroid-microbiome-mitochondrial axis provides the physiological basis for the allostatic state, a reversible phase of dynamic recalibration that integrates training, nutrition, environmental stress, and circadian cues to sustain thyroid activity, mitochondrial efficiency, and microbial balance. This integrative perspective supports precision interventions to optimize recovery and performance in athletes.",Odriozola A; González A; Odriozola I; Corbi F; Álvarez-Herms J,Nutrients,2025,https://pubmed.ncbi.nlm.nih.gov/41515177/,1,0,0,0,0,0
41461264,Food as Medicine: Enhancing Crop Breeding and Food Processing to Shift the Gut Microbiome for Prevention and Treatment of Chronic Diseases.,"Prebiotics are useful tools for shifting the gut microbiome and metabolome to confer immune, metabolic, and preventive benefits for human disease. However, there are emerging concerns about methods for discovering optimal candidate compounds and their sustainable production for long-term success in targeting mechanisms of disease. In this perspective, we review the current state of prebiotics moving from nutrition to function in health, highlighting the opportunities for using food as medicine in treating a model disease, inflammatory bowel disease, discussing the ways crop breeding can be used to identify and improve the functional (beyond nutritional) value of a prebiotic and the critical role that food processing plays in sustaining the integrity and scalability of the prebiotic compound while influencing consumer adoption of these agents. This information supports a trajectory for the future of food as medicine to be moving from population-scale dietary guidelines to personalized or precision nutrition guidelines, from ""eat more fiber"" to ""eat this specific type of fiber that has been enhanced in and processed from this specific genotype of food crop"". This could include developing designer fibers by crop breeding to develop panels of genotypes with different fiber structures that deliver reliable shifts in the microbiome and metabolome for most patients with the targeted disease. Finally, there needs to be a commitment to sustainability of the plant-derived product so that future generations will have access to the same benefits of the food as medicine initially developed for disease prevention and treatment.",Mannon PJ; Benson AK; Schnable JC; Ding W; Juritsch AF; Rose DJ,The Journal of nutrition,2025,https://pubmed.ncbi.nlm.nih.gov/41461264/,1,0,0,0,0,0
41429531,[Research progress on precise lifestyle intervention for obesity based on genetic background].,"With the advancement of genomic technologies, precision lifestyle interventions tailored to individual genetic backgrounds have emerged as a novel approach for preventing and managing chronic diseases such as obesity. Several randomized controlled trials (RCTs) targeting obese or overweight populations have found that individuals with different genotypes exhibit varying responses to the same lifestyle intervention (gene-lifestyle intervention interactions). To date, more than 20 genes, including <i>FTO</i> and <i>MC4R</i>, have been identified to show such interactions, suggesting that genotype-based precision nutrition is a feasible approach. Based on this, some RCTs have compared the effectiveness of genotype-based precision interventions and one-fits-all interventions. However, current study results show considerable heterogeneity, and it remains inconclusive whether precision interventions are superior to one-fits-all interventions. Future studies should further explore precision intervention strategies, particularly by taking polygenic effects into account and integrating multi-omics data using methods such as machine learning, to provide new insights for precision interventions.",Li YX; Peng HX; Guo HD; Hou TJ; Zhang HY; Zheng Y; Tan YX; Zhang HD; Wu YQ; Qin XY; Wu T; Chen DF; Hu YH; Wang MY,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,2025,https://pubmed.ncbi.nlm.nih.gov/41429531/,1,0,0,0,0,0
41367416,Regulatory mechanisms of the gut microbiota-short chain fatty acids signaling axis in slow transit constipation and progress in multi-target interventions.,"Slow-transit constipation (STC) is an increasingly prevalent disorder that imposes a substantial health and economic burden. Mounting evidence highlights the ""gut microbiota-short-chain fatty acid (SCFA)-motility"" axis as a central pathophysiological link between dysbiosis and impaired colonic transit. This review synthesizes current knowledge of how SCFAs, especially acetate, propionate and butyrate, shape motility through serotonergic signaling, enteric nervous system modulation, epithelial barrier integrity and immune regulation. Particular attention is devoted to the biased-signaling properties of the SCFA receptors FFAR2 and FFAR3 (free fatty acid receptors 2 and 3, respectively), including emerging data on their heterodimerization. The article then appraises recent randomized controlled trials and meta-analyses of multi-target interventions (dietary fibers, synbiotics, postbiotics, fecal microbiota transplantation, phytochemicals, and small-molecule FFAR agonists) highlighting their efficacy, safety, and translational hurdles. Finally, the authors propose a precision-medicine framework that integrates multi-omics microbiome profiling, metabolomics, and host genetics to enable phenotype-stratified therapy. Key research gaps include limited long-term safety data, heterogeneous human cohorts and the need for large multicenter trials and machine-learning-guided responder prediction. Collectively, the review provides a roadmap for shifting STC management from symptom control to mechanism-based, personalized care.",Liu SH; Yang XF; Liang L; Song BB; Song XM; Yang YJ; Alhoot MA,Frontiers in microbiology,2025,https://pubmed.ncbi.nlm.nih.gov/41367416/,1,0,0,0,0,0
41306022,Molecular Insights into the Functional Roles of Variants in the <italic>FADS</italic> Gene Cluster on Omega-3 Long-Chain Polyunsaturated Fatty Acid Synthesis.,"Omega-3 long-chain polyunsaturated fatty acids (n3-LCPUFAs) have strong triglyceride-lowering and anti-inflammatory properties, and high levels of these fatty acids have been associated with reduced risk of cardiovascular disease. The synthesis of n3-LCPUFA, eicosapentaenoic acid (EPA) and docosahexaenoic acid (DHA), and n6-LCPUFA, arachidonic acid, share a common pathway mediated by fatty acid desaturase genes, FADS1 and FADS2. LCPUFA synthesis is regulated by both modifiable and non-modifiable factors. Of particular interest is the role of genetic variants in the FADS gene cluster, which are associated with altered FADS1 and FADS2 expression, as well as LCPUFA levels. However, the specific functional variants and the precise molecular mechanisms by which these variants regulate FADS gene expression remain to be elucidated. Variation in the FADS gene cluster is thought to have arisen through natural selection and changing dietary patterns. Available evidence suggests these variants, either individually or as a haplotype, may alter FADS gene expression by modifying DNA methylation in regulatory regions, as well as microRNA and transcription factor binding sites. This review explores the current state of knowledge regarding the functional roles of these variants on LCPUFA synthesis and how these new insights will help support precision nutrition strategies aimed at improving an individual's n3-LCPUFA status and health. Identifying specific functional variants in or near the FADS gene cluster and elucidating the mechanisms by which these variants impact LCPUFA synthesis requires further investigation. However, hypothesis generating in vitro studies have revealed roles for epigenetics, non-coding RNAs, and modification of transcription factor binding sites. This knowledge will generate new insights that will help improve our understanding of the genetic basis underlying LCPUFA synthesis and how this may differ across populations.",Coulson M; Mutch DM,Lifestyle genomics,2025,https://pubmed.ncbi.nlm.nih.gov/41306022/,1,0,0,0,0,0
41305652,Hidden Hunger in Pediatric Obesity: Redefining Malnutrition Through Macronutrient Quality and Micronutrient Deficiency.,"<b>Background:</b> Pediatric obesity exemplifies the paradox of energy excess coexisting with nutritional inadequacy. Despite high caloric intake, children with obesity often display deficiencies in essential macro- and micronutrients that impair growth, metabolic regulation, and long-term health. This review critically examines the mechanisms underlying malnutrition in pediatric obesity, emphasizing the interplay between dietary quality, inflammation, microbiota alterations, and biomarker profiles, and identifies research gaps limiting precision nutrition approaches. <b>Methods:</b> A comprehensive narrative review of studies addressing macro- and micronutrient intake, metabolic and inflammatory biomarkers, and gut microbiota-host interactions in pediatric obesity was conducted. Evidence from both clinical and experimental models was integrated to evaluate mechanistic pathways, diagnostic criteria, and preventive strategies. <b>Results:</b> Obesity-related malnutrition arises from poor dietary quality, systemic inflammation, and microbiota dysbiosis, leading to impaired nutrient utilization and metabolic dysfunction. Deficiencies in vitamin D, calcium, iron, magnesium, and B vitamins are common and often coexist with macronutrient imbalances. Diets rich in saturated fats and refined carbohydrates exacerbate inflammation and metabolic risk, whereas plant-based proteins, unsaturated fats, and fiber support metabolic resilience. Precision nutrition and biomarker-guided monitoring show promise but require validation in pediatric cohorts. Evidence on microbiota modulation and nutrient-gene interactions remains inconsistent, reflecting methodological heterogeneity. <b>Conclusions:</b> Malnutrition in pediatric obesity should be recognized as a distinct clinical phenotype characterized by qualitative nutrient deficiency within a state of energy surplus. Addressing this paradox demands harmonized diagnostic criteria, longitudinal biomarker surveillance, and individualized dietary strategies informed by genetics and microbiome profiling. Multilevel interventions, linking clinical practice, policy, and food system reform, are essential to prevent lifelong metabolic complications and promote healthy growth trajectories.",Dargenio VN; Sgarro N; La Grasta G; Begucci M; Castellaneta SP; Dargenio C; Paulucci L; Francavilla R; Cristofori F,Nutrients,2025,https://pubmed.ncbi.nlm.nih.gov/41305652/,1,0,0,0,0,1
41302083,"Nutrigenomics of Obesity: Integrating Genomics, Epigenetics, and Diet-Microbiome Interactions for Precision Nutrition.","Obesity is a highly complex, multifactorial disease influenced by dynamic interactions among genetic, epigenetic, environmental, and behavioral determinants that explicitly position genetics as the core. While advances in multi-omic integration have revolutionized our understanding of adiposity pathways, translation into personalized clinical nutrition remains a critical challenge. This review systematically consolidates emerging insights into the molecular and nutrigenomic architecture of obesity by integrating data from large-scale GWAS, functional epigenomics, nutrigenetic interactions, and microbiome-mediated metabolic programming. The primary aim is to systematically organize and synthesize recent genetic and genomic findings in obesity, while also highlighting how these discoveries can be contextualized within precision nutrition frameworks. A comprehensive literature search was conducted across PubMed, Scopus, and Web of Science up to July 2024 using MeSH terms, nutrigenomic-specific queries, and multi-omics filters. Eligible studies were classified into five domains: monogenic obesity, polygenic GWAS findings, epigenomic regulation, nutrigenomic signatures, and gut microbiome contributions. Over 127 candidate genes and 253 QTLs have been implicated in obesity susceptibility. Monogenic variants (e.g., <i>LEP</i>, <i>LEPR</i>, <i>MC4R</i>, <i>POMC</i>, <i>PCSK1</i>) explain rare, early-onset phenotypes, while <i>FTO</i> (polygenic) and <i>MC4R</i> (monogenic mutations as well as common polygenic variants) represent major loci across populations. Epigenetic mechanisms, dietary composition, physical activity, and microbial diversity significantly recalibrate obesity trajectories. Integration of genomics, functional epigenomics, precision nutrigenomics, and microbiome science presents transformative opportunities for personalized obesity interventions. However, translation into evidence-based clinical nutrition remains limited, emphasizing the need for functional validation, cross-ancestry mapping, and AI-driven precision frameworks. Specifically, this review systematically identifies and integrates evidence from genomics, epigenomics, nutrigenomics, and microbiome studies published between 2000 and 2024, applying structured inclusion/exclusion criteria and narrative synthesis to highlight translational pathways for precision nutrition.",Farzand A; Rohin MAK; Awan SJ; Ahmad AMR; Akram H; Saleem T; Imran MM,"Life (Basel, Switzerland)",2025,https://pubmed.ncbi.nlm.nih.gov/41302083/,1,0,0,0,0,0
41228448,Zinc as a Modulator of miRNA Signaling in Obesity.,"<b>Background</b>: Obesity is a multifactorial metabolic disorder influenced not only by excessive caloric intake but also by micronutrient imbalances such as zinc deficiency. Emerging evidence suggests that zinc regulates microRNA (miRNA) biogenesis and expression, linking nutritional status to metabolic regulation. <b>Objective</b>: This review delineates the molecular interplay between zinc and miRNAs in obesity, emphasizing the mechanistic, clinical, and translational relevance of zinc-sensitive miRNAs in adipogenesis, insulin resistance, inflammation, and oxidative stress. <b>Results</b>: Zinc deficiency alters miRNA expression profiles associated with metabolic dysregulation. Key miRNAs-miR-21, miR-34a, miR-122, and miR-144-3p-are consistently modulated by zinc status, influencing inflammation, lipid metabolism, and insulin signaling. Zinc repletion restores several miRNAs (e.g., miR-10b, miR-155, miR-145), suggesting reversibility, while excessive zinc may upregulate miR-144-3p and exacerbate oxidative stress. Circulating and exosomal miRNAs show promise as dynamic biomarkers for zinc intervention efficacy. <b>Methods</b>: A literature search was performed in 4 databases up to August 2025 using keywords related to zinc, miRNAs, and obesity. Eligible studies included both preclinical and human research evaluating zinc status or supplementation and miRNA expression in metabolic contexts. <b>Conclusion</b>: Maintaining optimal zinc levels may normalize miRNA expression and improve insulin sensitivity. The ""zinc-miRNA axis"" represents a novel frontier for precision nutrition in obesity management.",Taslim NA; Graciela AM; Harbuwono DS; Syauki AY; Anthony AN; Ashari N; Aman AM; Tjandrawinata RR; Hardinsyah H; Bukhari A; Nurkolis F,Nutrients,2025,https://pubmed.ncbi.nlm.nih.gov/41228448/,1,0,0,0,0,0
41228418,Nutritional Approaches in Neurodegenerative Disorders: A Mini Scoping Review with Emphasis on SPG11-Related Conditions.,"<b>Background:</b> Neurodegenerative diseases, including spastic paraplegia type 11 (SPG11), are complex disorders characterized by progressive neurological decline and significant metabolic disturbances. Spatacsin, the protein encoded by the SPG11 gene, plays a critical role in autophagy and lysosomal homeostasis, which are essential for neuronal health. Its impairment leads to defective cellular clearance and neurodegeneration. Recently, personalized and precision nutrition have emerged as promising approaches to enhance clinical outcomes by tailoring dietary interventions to individual genetic, metabolic, and phenotypic profiles. <b>Objectives:</b> This mini scoping review aimed to synthesize current evidence on the application of personalized and precision nutrition in SPG11 and to explore how insights from related neurodegenerative diseases could inform the development of future dietary and metabolic interventions for this rare disorder. <b>Methods:</b> Following PRISMA-ScR guidelines, a scoping review was conducted using PubMed, Scopus, and Web of Science databases (2020-2024). Eligible studies included investigations addressing nutritional, genomic, or metabolic interventions in neurodegenerative diseases. Of 30 screened papers, nine met the inclusion criteria, primarily focusing on nutritional and metabolic interventions related to neurodegenerative and neuromuscular conditions. <b>Results:</b> To date, no dietary intervention trials have been conducted specifically for SPG11. However, evidence from studies on related neurodegenerative diseases suggests that antioxidant, mitochondrial-supportive, and microbiota-targeted dietary approaches may beneficially influence key pathological processes such as oxidative stress, lipid dysregulation, and autophagy-core mechanisms that are also central to SPG11 pathophysiology. <b>Conclusions:</b> Although current evidence remains preliminary, personalized nutrition is a promising supplementary strategy for managing neurodegenerative diseases, including SPG11. Future research should incorporate systems-based approaches that combine dietary, metabolic, and neuroimaging assessments, with sex and comorbidity-stratified analyses, multi-omics profiling, and predictive modeling. These frameworks could help design safe, effective, and personalized nutritional interventions aimed at enhancing metabolic resilience and slowing disease progression in SPG11.",Ribeiro PR; Ferreira C; Antunes C; Dias G; Lima MJ; Guiné R; Teixeira-Lemos E,Nutrients,2025,https://pubmed.ncbi.nlm.nih.gov/41228418/,0,0,0,0,0,0
