PMID,Title,Abstract,Authors,Journal,Year,URL,Review,SystematicReview,ClinicalTrial,MetaAnalysis,RCT,LongitudinalStudy
41515177,Thyroid-Microbiome Allostasis and Mitochondrial Performance: An Integrative Perspective in Exercise Physiology.,"Exercise acts as a physiological stimulus, requiring precise coordination among endocrine, microbial, and mitochondrial systems to maintain metabolic stability through allostatic regulation. The goal of the article is to integrate multidisciplinary evidence to characterize the thyroid-microbiome-mitochondrial axis as a key regulator of the allostatic state in athletic physiological response. During acute, chronic, and overload training phases, the thyroid-microbiome-mitochondrial axis operates bidirectionally, coupling microbial signaling with endocrine and mitochondrial networks to mediate metabolic response to exercise. This response shows interindividual variability driven by sex, age, genetics, and nutritional status, shaping the boundaries between adaptive efficiency and allostatic overload. Microbial metabolites, such as short-chain fatty acids (SCFA) and secondary bile acids, modulate deiodinase activity, bile acid recycling, and mitochondrial biogenesis through AMPK-SIRT1-PGC1α signaling, optimizing substrate use and thermogenic capacity. Thyroid hormones reciprocally regulate gut motility, luminal pH, and bile secretion, maintaining microbial diversity and mineral absorption. Under excessive training load, caloric restriction, or inadequate recovery, this network becomes transiently unbalanced: SCFA synthesis decreases, D3 activity increases, and a reversible low-T<sub>3</sub>/high-rT<sub>3</sub> pattern emerges, resembling early Hashimoto- or Graves-like responses. Selenium-, zinc-, and iron-dependent enzymes form the redox link between microbial metabolism, thyroid control, and mitochondrial defense. In conclusion, the thyroid-microbiome-mitochondrial axis provides the physiological basis for the allostatic state, a reversible phase of dynamic recalibration that integrates training, nutrition, environmental stress, and circadian cues to sustain thyroid activity, mitochondrial efficiency, and microbial balance. This integrative perspective supports precision interventions to optimize recovery and performance in athletes.",Odriozola A; González A; Odriozola I; Corbi F; Álvarez-Herms J,Nutrients,2025,https://pubmed.ncbi.nlm.nih.gov/41515177/,1,0,0,0,0,0
41496202,"Resistance-based training improves mitochondrial capacity and redox balance in aging adults, independent of polyphenol supplementation.","Aging is associated with declines in skeletal muscle function, mitochondrial capacity, and changes in redox balance, which collectively contribute to frailty and chronic disease risk. This study investigated the effects of a 12-week resistance training (RT) program combined with a small dose of high-intensity interval training (HIIT), with or without polyphenol supplementation, on mitochondrial respiratory capacity (MRC) and oxidative stress in middle-aged and older adults (55-70 years). Forty-one participants were randomized to receive either a polyphenol supplement or a placebo for 30 days before the training intervention. Following the training intervention, aerobic capacity, lean mass, and strength improved significantly in both groups. Training also increased MRC in the placebo group but not in the polyphenol group, which displayed higher MRC following the supplementation phase, possibly reflecting either a supplement effect or baseline variation. The training resulted in a 20 % decrease in skeletal muscle H<sub>2</sub>O<sub>2</sub> emission across both groups, suggesting enhanced mitochondrial efficiency or antioxidant defenses. However, gene expression of selected antioxidants was unchanged, and plasma oxidative stress markers malondialdehyde (MDA) increased, and 3-nitrotyrosine (3-NT) remained unchanged. Circulating antioxidants showed distinct changes with training, as ascorbic acid increased with training in both groups, while α-tocopherol increased only in the placebo group and β-cryptoxanthin and retinol declined in the polyphenol group, suggesting potential supplement-nutrient interactions. Uric acid increased in both groups, likely reflecting exercise-induced purine turnover. In conclusion, combined RT and HIIT improved mitochondrial bioenergetics and muscle redox balance in middle-aged and older adults, whereas polyphenol supplementation did not augment these adaptations and may have blunted some vitamin-related responses. These findings underscore resistance-based exercise as a potent intervention for maintaining physical and mitochondrial health with age.",Flensted-Jensen M; Weinreich CM; Kleis-Olsen AS; Hansen F; Skyggelund NS; Pii JR; Whitlock R; Karlsen A; Ingersen A; Reihmane D; Weber D; Grune T; Pivovarova-Ramich O; Dela F,Redox biology,2025,https://pubmed.ncbi.nlm.nih.gov/41496202/,0,0,0,0,1,0
41466265,"China precision nutrition biobank: protocol of a prospective cohort study on diet, human phenotype/genotype, and early-onset chronic diseases.","The global burden of early-onset chronic diseases, especially early-onset type 2 diabetes, is increasing, particularly in China. Diet is a key factor and emerging evidence highlights substantial inter-individual variability in metabolic responses to diets, highlighting the need for precision nutrition. The China Precision Nutrition Biobank (CPNB) is a prospective, longitudinal, cohort study designed to investigate diet-phenotype/genotype interactions and develop precision dietary strategies for early prevention and intervention of chronic diseases, with a particular focus on early-onset diseases. CPNB consists of three phases: the alpha (pilot cohort), beta (transition cohort), and gamma (main cohort) phases. Approximately 200, 1450, and 20,000 adults aged 18-40 years from urban and rural areas in China including Beijing, one city each in Heilongjiang, Shandong, Zhejiang, Guangxi, and Hainan provinces, and one or more villages each in Henan, Gansu, Sichuan, Zhejiang, and Hunan provinces will be recruited during the alpha, beta, and gamma phases, respectively, between 2025 and 2035. Sociodemographic information, medical records, read-time weighed food records and corresponding continuous glucose monitor (CGM) readings, objective physical activity, food challenges, genes, gut and oral microbiota, metabolites from blood, stool, urine, saliva, and hair, and questionnaires will be collected at baseline survey. The follow-up survey will be conducted every five years to repeat these assessments until participants' death (the follow-up period may extend up to 80 years). Outcomes of interest are common early- and late-onset chronic diseases and their preclinical stages. The CPNB data can be used to develop prediction models for personalized metabolic responses and risks of early-onset chronic diseases among Chinese people. It will also provide new evidence on interactions of diet with human phenotypes/genotypes during preclinical stage, onset, and progression of early-onset diseases. CPNB aims to inform the development of precision nutrition strategies aligned with the principles of predictive, personalized, preventive, and participatory medicine in the Chinese population. CPNB was registered at Chinese Clinical Trial Registry ( http://www.chictr.org.cn/ ) on June 3rd, 2025, under the registration number ChiCTR2500103621.",He J; Xie M; Liu J; Dong Y; Chen H; Wang R; Xu W; Li K; Fan Z; Martinez JA; Raben A; Ren F; Guo J; Zhu R,Nutrition journal,2025,https://pubmed.ncbi.nlm.nih.gov/41466265/,0,0,0,0,0,1
41404613,"Gut metabolism links precision nutrition, exercise, and healthspan in <i>Drosophila melanogaster</i>.","Longevity-promoting interventions commonly entail functional trade-offs, raising the unresolved question of whether lifespan extension necessarily compromises physiological performance. Here, utilizing a chemically defined diet (CDD) in <i>Drosophila melanogaster</i>, we systematically evaluated a multimodal intervention combining methionine restriction (MR), taurine supplementation (Tau), and moderate exercise. This combinatorial approach synergistically extended lifespan, preserved reproductive capacity, and improved locomotor function. Integrative targeted metabolomics and stable isotope tracing revealed increased mitochondrial tricarboxylic acid (TCA) cycle flux and enhanced redox homeostasis in the gut as central metabolic features. Notably, <i>Lactobacillus plantarum</i> was identified as a key microbial mediator responsive to dietary and behavioral stimuli, potentially coordinating host energy metabolism and maintaining physiological integrity. Together, these observations outline a ""nutrition-behavior-microbiota"" framework that uncouples the traditional trade-off between lifespan and functional health, offering new perspectives for promoting healthy aging.",Wei F; Liu S; Sun Y; Liu J,bioRxiv : the preprint server for biology,2025,https://pubmed.ncbi.nlm.nih.gov/41404613/,0,0,0,0,0,0
41393015,Global research hotpots on child weight management: visualized analysis based on CiteSpace.,"This research aims to investigate the current research landscape, key focus areas, and emerging trends within the field of. We conducted searches on the Wanfang Data Knowledge Service Platform, China National Knowledge Infrastructure (CNKI), Web of Science (WOS) and PubMed databases. Bibliometric analysis was performed using CiteSpace 6.2.R3 software. Analytical methods included annual publication volume, co-authorship network analysis between countries, keywords co-occurrence analysis, and cluster analysis. From January 1, 2022, to June 1, 2025, a total of 281 Chinese-language publications and 168 English-language publications were retrieved. China exhibited the highest publication output, followed by the largest number of publications in the world. China exhibited the highest publication output, followed by the United States and Italy. in current research, both domestically and internationally, centers on holistic lifestyle restructuring. This involves replacing unhealthy lifestyle patterns with structured health behavior interventions. This involves replacing unhealthy lifestyle patterns with structured health behavior interventions, such as personalized exercise prescriptions and precision nutrition plans. Cluster analysis identified 7 distinct research hotspots within the field. Citespace keyword timeline analysis shows that intervention studies in this field have consistently emphasized placing the participation of children and their families at the core. By conducting an in-depth exploration of the definition, characteristics, and influencing factors related to childhood weight management, alongside investigating intervention methods and measures, this by conducting an in-depth exploration of the definition characteristics, and influencing factors related to childhood weight management, alongside investigating intervention methods and measures, this research advocates for a paradigm shift. The field should transition from fragmented approaches toward standardized, multidisciplinary collaborative models for childhood weight management.",Yang S; Wang J; Xu H,Frontiers in public health,2025,https://pubmed.ncbi.nlm.nih.gov/41393015/,0,1,0,0,0,0
41374076,"The Gut-Muscle-Immune Axis in Motion: Mechanistic Synergies of SCFA Metabolism, Exercise, and Microbial Cross-Feeding.","The gut microbiota plays a fundamental role in metabolic and immune homeostasis through the production of short-chain fatty acids (SCFAs). These metabolites influence mitochondrial biogenesis, muscle energetics, epithelial barrier stability, and inflammatory regulation via G-protein-coupled receptors, AMPK-PGC-1α signaling, and epigenetic remodeling. This review synthesizes current evidence on the gut-muscle-immune axis, emphasizing how dietary fermentable substrates, microbial cross-feeding interactions, and structured exercise modulate SCFA production and shape host physiological adaptation. We integrated findings from human and animal studies, multi-omic analyses, metabolomic and microbiome research, and exercise physiology to outline mechanistic links between microbial metabolism and systemic resilience. Key mechanistic pathways connecting dietary fiber fermentation to mitochondrial function, redox regulation, immune homeostasis, and metabolic plasticity are summarized. We further present the Targeted Gut Protocol 2.0, a conceptual 12-week framework combining fiber-diversity targets, lactate-guided exercise periodization, biomarker monitoring, and adaptive feedback mechanisms to enhance endogenous SCFA availability. SCFA-driven metabolic plasticity provides an integrative model through which lifestyle behaviors can modulate host physiology. Future research should prioritize standardized sampling approaches, causal inference methods, multi-omic integration, and AI-supported personalization to refine mechanistic understanding and strengthen translational potential.",Réka F; Zsófia B; Ádám B; Péter F,Nutrients,2025,https://pubmed.ncbi.nlm.nih.gov/41374076/,1,0,0,0,0,0
41373948,Personalized Nutritional Assessment and Intervention for Athletes: A Network Physiology Approach.,"Nutritional assessment and intervention in athletes, a central focus of sports medicine and healthcare, has increasingly shifted in recent years toward precision nutrition-an approach that individualizes dietary recommendations according to genetic profile, microbiome composition, lifestyle factors, and health status. Despite its promising potential, this approach faces significant limitations, including the challenge of integrating complex and dynamic interactions among multilevel indicators, and the relatively high costs associated with omics technologies. The aim of this paper is to propose a nutritional assessment and intervention model grounded in the Network Physiology of Exercise, an emerging scientific field that investigates the horizontal and vertical dynamic interactions among nested physiological levels and conceptualizes athletes as complex adaptive systems (CAS). The proposal integrates social, environmental, behavioral and psychobiological information, extracted particularly from semi-structured interviews based on CAS properties. Accordingly, the traditional dietary assessment tools are replaced by open and guided interviews that allow professionals and practitioners to co-construct meaningful insights and extract qualitative data through a reflexive thematic analysis. From a CAS perspective, the multidimensional and multi-timescale personal and environmental constrains affecting their eating behavior were integrated through a hierarchically nested organization. Eliciting the dynamics of emotional contexts, behavioral patterns, and psychophysiological states, the interviews become both a method of assessment and an intervention in itself.",Prieto A; Lizarraga MA; Balagué N,Nutrients,2025,https://pubmed.ncbi.nlm.nih.gov/41373948/,1,0,0,0,0,0
41314750,Personalized management of Parkinson's disease.,"Parkinson's disease is a progressive neurodegenerative disorder characterized by dopaminergic neuron loss, α-synuclein aggregation, and oxidative stress-induced mitochondrial dysfunction. These contribute to motor symptoms like bradykinesia, tremor, rigidity, and postural instability, alongside non-motor issues such as cognitive decline and autonomic dysfunction. With rising global prevalence, especially in aging populations, understanding PD's complex pathophysiology is essential for advancing effective therapeutic strategies. This chapter offers a comprehensive overview of Parkinson's disease, covering its demographic trends, molecular mechanisms, symptoms, and current pharmacological treatments, including their mechanisms, classifications, benefits, and side effects. The central focus is on the emerging shift from standard symptomatic care to personalized, precision-based treatment strategies. These include gene-targeted therapies like RNA interference and CRISPR-Cas9, mitochondrial-based approaches, and stem cell innovations such as induced pluripotent stem cells (iPSCs). Pharmacogenetic profiling and biomarker-based interventions further support individualized therapeutic plans by predicting drug responses and tracking disease progression. This chapter explores patient-centric models like personalized neurorehabilitation, DBS, and cognitive-behavioral therapy, alongside advanced technologies such as AI, VR, AR, and wearable devices that enhance treatment, symptom monitoring, and real-time feedback through mobile applications. Lifestyle adaptations, including precision nutrition and customized exercise regimens, are highlighted as key components of comprehensive care. This chapter highlights a personalized, multi-dimensional approach to Parkinson's disease management, integrating molecular, technological, and lifestyle strategies to both ease symptoms and modify disease progression.",Chakraborty D; Roy PK; Das R; Mal C,Progress in brain research,2025,https://pubmed.ncbi.nlm.nih.gov/41314750/,1,0,0,0,0,0
41186329,Evaluating untargeted metabolomics pipelines for sports nutrition research: a review.,"Untargeted metabolomics has emerged as a transformative approach in sports nutrition research, offering an unbiased means to characterize the complex biochemical responses to exercise, training, and dietary interventions. Unlike targeted assays restricted to predefined metabolites, untargeted strategies capture broad metabolic perturbations across lipid, carbohydrate, amino acid, and nucleotide pathways, enabling the discovery of novel biomarkers and unanticipated physiological mechanisms. This review critically evaluates the design and application of untargeted metabolomic pipelines in the context of exercise and nutrition science, from pre-analytical sample handling and analytical platforms such as NMR, LC-MS, and GC-MS, to data processing using tools like XCMS, MZmine, and MS-DIAL, and subsequent statistical and bioinformatic interpretation. Key applications include delineating acute metabolic shocks induced by endurance exercise, identifying athlete-specific metabolic phenotypes shaped by chronic training, and assessing the impact of nutritional interventions such as fruit intake, amino acid supplementation, or polyphenol-rich foods on exercise recovery and oxidative stress. The integration of metabolomics with other omics, particularly microbiome metagenomics and lipidomics, highlights the potential for systems-level insights into host-microbe-diet interactions. Nonetheless, significant challenges remain, including the reproducibility of findings, difficulties in metabolite identification, and the translational gap between large datasets and actionable nutritional strategies. By synthesizing current strengths, limitations, and controversies, this review emphasizes that the future of sports metabolomics lies in methodological standardization, multi-omics integration, and validation of candidate biomarkers in independent cohorts. Collectively, these efforts position untargeted metabolomics as a cornerstone for advancing precision nutrition and personalized performance monitoring in athletes.",Liu Y; Liu X; Hu Y; Gao F; Yu W; Cheng F,Analytical methods : advancing methods and applications,2025,https://pubmed.ncbi.nlm.nih.gov/41186329/,1,0,0,0,0,0
41176812,From prediction of personalized metabolic responses to foods to computational nutrition: Concepts of an emerging interdisciplinary field.,"Recent advances in artificial intelligence, wearable biosensors, and multi-omics technologies, combined with interdisciplinary translational collaborations, are transforming the landscape of nutrition, particularly by enabling precision nutrition. We propose computational nutrition as an emerging interdisciplinary field that aims to address complex challenges in nutrition and health and drive paradigm shifts in nutrition research through computational methods in statistics and computer science (e.g., statistical modeling, simulation, causal inference, machine learning, and deep learning) and multi-modal data. Computational nutrition employs epidemiology and data science as its methodologies and integrates expertise from nutrition, food science, computer science, statistics, systems biology, and public health. The main research directions of computational nutrition are: 1) prediction of personalized metabolic responses to foods and establishment of individualized dietary reference intakes; 2) causal inference in nutrition and diseases and evaluation of individualized treatment effects of nutritional interventions; 3) precise and dynamic assessment and monitoring of diet-related disease risks; 4) simulation and evaluation of public health nutrition policies and sustainability assessment of dietary patterns. Critical challenges such as the reliability of wearable biosensors, trade-offs in feature selection, ethics of algorithms and health equity, and interpretability of algorithms are raised, which must be addressed to ensure human well-being and rights.",Zhu R; Dong Y; Guo J; He J; Chen H; Wang R; Ren F; Raben A; Martinez JA,"Clinical nutrition (Edinburgh, Scotland)",2025,https://pubmed.ncbi.nlm.nih.gov/41176812/,0,0,0,0,0,0
