PMID,Title,Abstract,Authors,Journal,Year,URL,Review,SystematicReview,ClinicalTrial,MetaAnalysis,RCT,LongitudinalStudy
41606844,A comparative study of the effects of high protein diets of soy and dairy on healthy aging by integrating multi-omics approaches.,"The global aging population necessitates optimal dietary protein strategies to mitigate age-related decline. However, few studies have linked soy and dairy protein intake to aging. This study investigated soy and dairy protein impacts on aging through epidemiological and animal analysis. Epidemiological data linked higher soy (not dairy) protein intake with slower biological aging. In animal experiments, the effects of 15 % and 30 % (protein energy supply ratios) casein diet (CPD) and soy protein diet (SPD) on aging-related health outcomes, aging phenotypes and its molecular mechanisms in middle-aged rats were explored. After 27 weeks feeding, compared to 15 % SPD, 30 % SPD significantly reduced adiposity, improved lipid profiles, enhanced memory and muscle performance, while 30 % CPD failed to demonstrate comparable improvements. Also, 30 % SPD alleviated liver and kidney impairment, decreased aging markers (p53, p16, p21) levels and SASP factors. Mechanically, 30 % SPD suppressed mTORC1 activation via decreased serum branched-chain amino acids. Furthermore, gut microbiota analysis revealed that SPD reshaped gut microbiota composition, enriched beneficial taxa such as Akkermansia and Duncaniella, and decreased pathogenic bacteria Fusobacterium, compared with CPD. Metabolomics further found that SPD specifically reduced phospholipid metabolites such as LPC 22:4-SN1, O-phosphatecholine, which were strongly correlated with behavioral index and SASP factors. Integrative analysis identified significant associations between SPD-enriched microbiota (Prevotellaceae_UCG-001 and Defluviitaleaceae_UCG-011) and metabolites and aging phenotypes. Collectively, soy protein exerts superior anti-aging effects over casein through coordinated suppression of mTORC1 driven senescence and modulation of gut microbiota-metabolite. This study provides a basis for prioritizing soy protein in healthy aging dietary strategies.",Tian Z; Xu J; Song Y; Ao X; Sun X; Fu Z; Chen Y; Hou W; Sun C,"Food research international (Ottawa, Ont.)",2025,https://pubmed.ncbi.nlm.nih.gov/41606844/,0,0,0,0,0,0
41539802,Molecular weight-engineered lentinan fractions as prebiotic modulators: Steering gut microbiota for precision obesity intervention.,"Lentinus edodes polysaccharides are widely recognized for their potential contributions to human health, in part due to their interactions with the gut microbiota. In this study, three molecular weight (Mw) fractions of water-soluble lentinan (WSL)-WSL-40 (2.19 × 10<sup>6</sup> Da), WSL-60 (2.96 × 10<sup>5</sup> Da), and WSL-80 (1.70 × 10<sup>4</sup> Da), derived from Lentinula edodes cultivated in Zhejiang, were systematically investigated using an in vitro fermentation model to assess their regulatory effects on gut microbiota from healthy and obese individuals. In healthy microbiota, WSL demonstrated diet-induced obesity prevention potential via Mw-dependent regulation: WSL-80 reached a total sugar glycolysis equilibrium the earliest, with maximal butyric acid production, and specifically promoted the growth of Parabacteroides (p < 0.05). In obese microbiota, WSL alleviated dysbiosis and enhanced the proliferation of beneficial genera, with Mw-gradient-dependent effects demonstrated by a progressive reduction in the Firmicutes/Bacteroidetes ratio as Mw decreased. Higher abundances of Phascolarctobacterium, Klebsiella, and Parabacteroides were observed with WSL-80. Elevated Bacteroides were noted in WSL-60 and WSL-80, and maximal Weissella abundance was observed in WSL-40. This establishes lentinan's Mw gradient as a directional regulator of functional microbiota, thereby providing a theoretical basis for precision nutrition interventions against obesity.",Yan X; Shen Y; Tao Q; Shi P; Zhang Q; Qi Y; Zhou Q; Lu Q; Liang H,"Food research international (Ottawa, Ont.)",2025,https://pubmed.ncbi.nlm.nih.gov/41539802/,0,0,0,0,0,0
41475244,The study of functional properties of kiwifruit peel dietary fiber and the bioactivity as well as synergetic prebiotic effects of bound phenolics in it during in vitro gastrointestinal digestion and colonic fermentation.,"The structure, functional performance of soluble and insoluble Kiwifruit (Actinidia chinensis Planch) peel dietary fiber (KPDF) as well as abundant bound phenolics (BPs) in them were systematically investigated. It turned out that KPDF conserved outstanding capacities in adsorption and cation exchange. 23 BPs were identified in KPDF, most of which were inaccessible during in vitro gastrointestinal digestion but up to 27.10 % and 57.89 % BPs were released form insoluble and soluble KPDF after 24 h and 12 h colonic fermentation, respectively. Meanwhile, KPDF promoted the reproduction of beneficial bacteria such as Prevotella, Dialister, Faecalibacterium, while reducing the abundances of harmful bacteria such as Collinsella, Dorea, and Gemmiger with BPs contributing to such features. Such results reflected the promoting effects of BPs in the prebiotic effects of functional KPDF, providing theoretical foundation for the further exploration of KPDF as functional nutritional factors in health promotion.",Hou C; Yu J; Ji M; Chen Y; Liu C; Zhang W; Yu H; Xu C; Zhou X; Sun L; Liu X; Wang Y,Food chemistry,2025,https://pubmed.ncbi.nlm.nih.gov/41475244/,0,0,0,0,0,0
41445807,Artificial Intelligence for Microbiology and Microbiome Research.,"Advancements in artificial intelligence (AI) have transformed many scientific fields, with microbiology and microbiome research now experiencing significant breakthroughs through machine learning applications. This review provides a comprehensive overview of AI-driven approaches tailored for microbiology and microbiome studies, emphasizing both technical advancements and biological insights. We begin with an introduction to foundational AI techniques, including primary machine learning paradigms and various deep learning architectures, and offer guidance on choosing between traditional machine learning and sophisticated deep learning methods based on specific research goals. The primary section on application scenarios spans diverse research areas, from taxonomic profiling, functional annotation \& prediction, microbe-X interactions, microbial ecology, metabolic modeling, precision nutrition, clinical microbiology, to prevention \& therapeutics. Finally, we discuss challenges in this field and highlight some recent breakthroughs. Together, this review underscores AI's transformative role in microbiology and microbiome research, paving the way for innovative methodologies and applications that enhance our understanding of microbial life and its impact on our planet and our health.",Wang XW; Wang T; Liu YY,ArXiv,2025,https://pubmed.ncbi.nlm.nih.gov/41445807/,0,0,0,0,0,0
41418521,Activation of the Wnt/β-catenin pathway attenuates the acute toxic effects of copper exposure in Penaeus vannamei.,"Copper (Cu) toxicity in aquaculture poses significant ecological and economic risks. Up to now, the underlying mechanisms by which Cu exposure exerts adverse effects remain unclear. In this study, the relation between Wnt/β-catenin pathway and acute Cu exposure in Penaeus vannamei were investigated from the aspects of Cu bioaccumulation, hepatopancreatic histology, antioxidant capacity, and intestinal microbiota, using P. vannamei exposed by Cu and injected by the Wnt/β-catenin pathway activator (TWS119) or inhibitor (IWR1). The results showed that Cu exposure activated the activities of GSK3β and the expression of gsk3β and axin, while inhibiting the expression of β-catenin, pangolin, and c-myc, indicating suppression of the Wnt/β-catenin pathway. Cu exposure increased Cu accumulation and bioaccumulation factor (BAF) in the muscle of P. vannamei, and suppression of the Wnt/β-catenin pathway further promoted these increases. Treatment with TWS119 alleviated the Cu-induced suppression of the signaling pathway, reduced ROS accumulation, and mitigated hepatopancreatic damage, whereas IWR1 exacerbated these effects. In addition, Cu exposure significantly altered the diversity and composition of the intestinal microbiota, promoting the proliferation of potential pathogens such as Vibrio, while inhibiting the beneficial taxa (e.g., Tateyamaria, Ralstonia). The activation and inhibition of Wnt/β-catenin pathway alleviate or enhance the effects. Functional prediction via Tax4Fun revealed distinct shifts in microbial metabolic pathways by Cu exposure and the modulation of Wnt/β-catenin pathway. In sum, these findings suggest that the Wnt/β-catenin pathway contributes to the protection of hepatopancreatic health in P. vannamei under Cu exposure by regulating antioxidant system and maintaining intestinal microbiota homeostasis.",Zheng Y; Li G; Derrick A; Xue Z; Luo X; Fu Z; Shi L; Zhang S,The Science of the total environment,2025,https://pubmed.ncbi.nlm.nih.gov/41418521/,0,0,0,0,0,0
41373364,Economic Impact of a Precision Nutrition Digital Therapeutic on Employer Health Costs: A Multi-Employer and Multi-Year Claims Analysis.,"<b>Background:</b> Obesity, gastrointestinal disorders, and mental health conditions are major drivers of employer healthcare expenditures, yet nutrition-focused interventions are infrequently reimbursed by health insurance. Precision nutrition, which integrates genetic, gut microbiome, biometric, and behavioral data to guide personalized dietary and lifestyle changes, may offer a scalable approach to reducing costs associated with diet-responsive conditions. <b>Objectives:</b> To evaluate the impact of a precision nutrition digital therapeutic on employer medical spending for diet-responsive conditions in self-insured U.S. health plans. <b>Methods:</b> We conducted a retrospective cohort study of medical claims from January 2022 to December 2024 across seven U.S. self-insured employers. Employees enrolled in a precision nutrition digital therapeutic (n = 258) were compared with never-enrolled peers (n = 8268). We estimated treatment effects using a two-stage difference-in-differences model with member and calendar-month fixed effects and clustered standard errors, focusing on per-member-per-year (PMPY) employer-paid medical spending overall and for predefined diet-responsive condition categories. PMPY estimates were defined conditional on months with positive employer-paid spending and therefore reflect changes in the intensity of spending among members generating claims rather than unconditional per-capita costs. <b>Results:</b> Enrollment in the precision nutrition digital therapeutic was associated with a -$3012 PMPY reduction in diet-responsive medical spending (<i>p</i> = 0.021) relative to non-enrolled peers on this conditional basis. The largest relative reductions were observed for digestive disorders (-$9240 PMPY; <i>p</i> = 0.029) and obesity (-$4884 PMPY; <i>p</i> = 0.007), with a smaller reduction for anxiety-related conditions (-$1356 PMPY; <i>p</i> = 0.043). Total medical spending decreased by -$4044 PMPY but this change did not reach statistical significance (<i>p</i> = 0.09). <b>Conclusions:</b> In this multi-employer claims analysis, participation in a precision nutrition digital therapeutic was associated with lower employer-paid medical expenditures for diet-responsive conditions, particularly digestive disorders and obesity. These findings suggest that precision nutrition digital therapeutics may represent a scalable strategy for employers to address the economic burden of chronic disease within self-insured health plans by reducing the intensity of medical spending among members.",Pedroso I; Saravanan SK; Kumbhare SV; Sharma G; Almonacid DE; Sinha R,"Healthcare (Basel, Switzerland)",2025,https://pubmed.ncbi.nlm.nih.gov/41373364/,0,0,0,0,0,0
41365911,Microbiome-dependent functional responses to structurally distinct oligosaccharides revealed by metaproteomics.,"Dietary oligosaccharides are prebiotics that fuel gut microbes, but individual microbiomes may respond differently depending on oligosaccharide structures as well as microbiome composition and function. The extent to which specific gut microbial communities exhibit personalized functional responses to distinct oligosaccharides remains underexplored. We applied a standardized ex vivo microbiome culture, called RapidAIM, coupled with metaproteomics to examine how six structurally diverse oligosaccharides affect the gut microbiota functional response. Our study shows that while human gut microbiomes share some commonalities in utilizing oligosaccharides (e.g. prioritizing dietary fibers over mucin), the fine-scale metabolic and taxonomic responses are highly individualized. Such findings underscore the importance of considering personal microbiome profiles when predicting the outcome of prebiotic interventions. In a broader context, our metaproteomic approach provides a framework for identifying optimal prebiotic choices tailored to individual microbiomes. Ultimately, understanding these personalized responses could inform precision nutrition strategies.",Zhang A; Wu Q; Mayne J; Ning Z; Qin H; Dewar A; Figeys D,NPJ biofilms and microbiomes,2025,https://pubmed.ncbi.nlm.nih.gov/41365911/,0,0,0,0,0,0
41354681,Tissue-resident microbiota impacts colorectal cancer progression and prognosis.,"To deepen the understanding of tissue-resident microbiota in colorectal cancer (CRC), we analyzed whole-genome and transcriptome data from 937 patients. We identified 249 genera and 361 species commonly present in both tumors and adjacent normal tissues (NATs). Distinct microbial signatures were associated with anatomical location, tumor stages, hypermutation status, mutations in CRC driver and DNA damage repair genes, as well as consensus molecular subtypes (CMSs). Notably, the presence of the pks island and elevated abundance of Enterobacteriaceae were linked to poor prognosis specifically in CMS2 tumors. Finally, microbial risk scores derived from taxa present in tumor or NATs predicted patient prognosis independently of established clinico-molecular factors. Prognostic taxa were strongly associated with tumor transcriptomic pathways related to hypoxia, immune response, and metabolic status. These findings revealed the heterogeneity of tissue-resident microbiota and their critical role in CRC progression, highlighting potential avenues for targeted intervention.",Shi Z; Ren H; Lin C; Li F; Wu M; Yang F; Luo T; Nunes L; Isaksson A; Hammarström K; Zhu T; Zhu S; Zhong Y; Ljuslinder I; Uhlén M; Palmqvist R; Glimelius B; Wu K; Sjöblom T; Zhong H,Nature communications,2025,https://pubmed.ncbi.nlm.nih.gov/41354681/,0,0,0,0,0,0
41352811,Low-cholesterol egg yolk lipids alleviated the development of atherosclerosis in ApoE <sup>-/-</sup> mice by regulating bile acid metabolism and gut microbiota.,"Atherosclerosis (AS), a major cardiovascular disease driver, can be caused by high levels of serum cholesterol. Eggs are the main source for dietary cholesterol, and although epidemiological studies reported no association between egg intakes and cardiovascular diseases, dietary cholesterol intake is still restricted for individuals with dyslipidemia. This study evaluated the effects of egg yolk lipids isolated from low-cholesterol (LC) and normal eggs (NC) on the progression of AS using the ApoE<sup>-/-</sup> mice at doses corresponding to one (L) or two (H) eggs daily in human. After the 8-weeks' intervention with LC, the aortic plaque areas were significantly reduced, along with the alleviation of oxidative stress by elevating aortic SOD activity. Serum contents of TC and LDL-C were significantly decreased in LC-H group, as well as the pro-inflammatory TNF-α, IL-1β and relative expression of adhesion molecules (ICAM-1, VCAM-1). Lipidomics revealed that PE contents in LC significantly increased while PC decreased compared with NC, leading to the increases in serum contents of DHA-rich PE. LC intervention inhibited hepatic cholesterol synthesis by upregulating LDLR and CYP7A1, enhanced LDL-C clearance and conversion to bile acids, with a significantly increase in UDCA and TUDCA while decrease in LCA and DCA. These bioactivities of LC were related to the enrichment of Lactobacillus and Akkermansia and decrease of Rikenella and Faecalimonas. Our studies first give direct evidence for evaluating the health effects of eggs, especially eggs with reduced contents of cholesterol, which laid a theoretical foundation for defining the target populations of low-cholesterol eggs.",Cheng L; Zhang M; Wu F; Dong J; Wang Y; Dong L; Ma Y; Zheng C; Wang Z; Li Y; Wang R; Ren F; Fang B,"Food research international (Ottawa, Ont.)",2025,https://pubmed.ncbi.nlm.nih.gov/41352811/,0,0,0,0,0,0
41338497,Gut microbiota and metabolomic: The potential mechanism underlying the female-specific protective effects of Craterellus cornucopioides polysaccharide against chemotherapy-induced intestinal injury.,"Chemotherapy agents, including cyclophosphamide (CTX), frequently induce severe intestinal injury characterized by oxidative stress, inflammatory responses, and microbiota dysbiosis, particularly in females who exhibit heightened immune and metabolic sensitivity. This investigation assessed the protective properties of Craterellus cornucopioides polysaccharide (CCP) against CTX-induced intestinal injury, with a focus on their impact on women's health through modulation of the gut microbiota and metabolic pathways. CCP significantly improved antioxidant and immune biomarkers (sIgA, SOD, CAT, T-AOC) while reducing pro-inflammatory markers (TNF-α, MDA) in mice treated with CTX. Histological analysis showed CCP restored intestinal barrier integrity by boosting the levels of tight junction proteins (ZO-1, Claudin-1) and promoting intestinal stem cell repair. Additionally, CCP modulated gut microbiota, increasing beneficial taxa (Lactobacillus, Dubosiella), while decreasing pathogenic genus (Bacteroides), thereby re-establishing microbial balance. Metabolomic analysis indicates that the differential involvement of steroid hormone biosynthesis, bile acid metabolism, and tryptophan metabolism in the observed regulatory effects. This underscored its role in restoring intestinal integrity and overall physiological balance. These findings establish a foundation for the development of female-specific adjunctive therapies to enhance gut health during chemotherapy.",Wang F; Li Y; Feng X; Shu Y; Zhang C; Li L; Guo M,International journal of biological macromolecules,2025,https://pubmed.ncbi.nlm.nih.gov/41338497/,0,0,0,0,0,0
