PMID,Title,Abstract,Authors,Journal,Year,URL,Review,SystematicReview,ClinicalTrial,MetaAnalysis,RCT,LongitudinalStudy
41624190,Diet type and the oral microbiome.,"The oral microbiome changes across the lifespan and is modulated by behavioral and metabolic exposures. Tobacco consumption, suboptimal hygiene, and frequent sugar intake disrupt microbial homeostasis, thereby increasing vulnerability to chronic oral diseases. While diet influences systemic metabolic and inflammatory health, evidence describing persistent, direct ecological effects on oral microbial communities remains limited. The objective of this study is to synthesize mechanistic insights on how dietary patterns shape the oral microbiome and influence systemic inflammatory or metabolic risk. A narrative, non-systematic review was conducted through expansive literature exploration. Peer-reviewed original and clinical studies reporting defined dietary exposures caloric restriction, plant-based diets, inorganic nitrate and fiber intake, and high-fat or high-sugar processed diets, were qualitatively evaluated for mechanistic relevance. Plant-enriched, high-fiber diets, nitrate intake, and caloric restriction were associated with reduced oxidative stress, lower pro-inflammatory cytokines, and greater diversity of commensal taxa, suggesting improved ecological stability. In contrast, processed diets promote metabolic conditions that indirectly remodel the oral habitat, favoring dysbiosis and a niche permissive to periodontitis. The diet-oral microbiome-systemic inflammation axis is bidirectional and clinically relevant. Understanding both direct ecological regulation and indirect metabolic effects is essential to support precision nutrition strategies aimed at maintaining oral microbial balance and systemic inflammatory risk mitigation.",Betancur D; Jara EL; Lima CA; Victoriano M,Frontiers in nutrition,2026,https://pubmed.ncbi.nlm.nih.gov/41624190/,1,0,0,0,0,0
41622927,"Polyphenols, epigenetics, and methionine metabolism: unlocking therapeutic potential.","Polyphenols, abundant in tea, fruits, vegetables, and other plant-derived foods, have emerged as key bioactive ingredients in the field of nutritional epigenetics. These polyphenols can modulate epigenetic modifications through endogenous metabolic pathways that are highly sensitive to food signals. Among these, the methionine cycle plays a central role in maintaining the homeostasis of DNA, histone, and RNA methylation by controlling the cellular supply of S-adenosylmethionine (SAM), the universal methyl donor. Dietary polyphenols influence this cycle through multiple mechanisms, including the regulation of methionine adenosyltransferase activity, modulation of SAM biosynthesis, and promotion of S-adenosylhomocysteine clearance. These actions help restore methylation balance and contribute to the dietary prevention of metabolic, inflammatory, and age-related diseases. Furthermore, polyphenols are biotransformed in the gut microbiota to produce metabolites that further influence methionine metabolism and its associated epigenetic modifications. This review provides an overview of dietary polyphenols as functional food supplements that play a role in methionine metabolic homeostasis and epigenetic modification. This review provides new perspectives for the development of precision nutrition strategies, functional foods, and chronic disease prevention approaches.",Liang J; Zhao Y; Cheng Y; Hu Z; Yuan Y; Xiao J; Farag MA; Cai X; Cao H; Yue T,Critical reviews in food science and nutrition,2025,https://pubmed.ncbi.nlm.nih.gov/41622927/,1,0,0,0,0,0
41517088,Artificial Intelligence-Driven Food Safety: Decoding Gut Microbiota-Mediated Health Effects of Non-Microbial Contaminants.,"A wide range of non-microbial contaminants-such as heavy metals, pesticide residues, antibiotics, as well emerging foodborne contaminants like micro- and nanoplastics and persistent organic pollutants-can enter the human body through daily diet and exert subtle yet chronic effects that are increasingly recognized to be gut microbiota-dependent. However, the relationships among multi-contaminant exposure profiles, dynamic microbial community structures, microbial metabolites, and diverse clinical or subclinical phenotypes are highly non-linear and multidimensional, posing major challenges to traditional analytical approaches. Artificial intelligence (AI) is emerging as a powerful tool to untangle the complex interactions between foodborne non-microbial contaminants, the gut microbiota, and host health. This review synthesizes current knowledge on how key classes of non-microbial food contaminants modulate gut microbial composition and function, and how these alterations, in turn, influence intestinal barrier integrity, immune homeostasis, metabolic regulation, and systemic disease risk. We then highlight recent advances in the application of AI techniques, including machine learning (ML), deep learning (DL), and network-based methods, to integrate multi-omics and exposure data, identify microbiota and metabolite signatures of specific contaminants, and infer potential causal pathways within ""contaminant-microbiota-host"" axes. Finally, we discuss current limitations, such as data heterogeneity, small-sample bias, and interpretability gaps, and propose future directions for building standardized datasets, explainable AI frameworks, and human-relevant experimental validation pipelines. Overall, AI-enabled analysis offers a promising avenue to refine food safety risk assessment, support precision nutrition strategies, and develop microbiota-targeted interventions against non-microbial food contaminants.",Xue R; Zong X; Jiang X; You G; Wei Y; Guo B,"Foods (Basel, Switzerland)",2025,https://pubmed.ncbi.nlm.nih.gov/41517088/,1,0,0,0,0,0
41515177,Thyroid-Microbiome Allostasis and Mitochondrial Performance: An Integrative Perspective in Exercise Physiology.,"Exercise acts as a physiological stimulus, requiring precise coordination among endocrine, microbial, and mitochondrial systems to maintain metabolic stability through allostatic regulation. The goal of the article is to integrate multidisciplinary evidence to characterize the thyroid-microbiome-mitochondrial axis as a key regulator of the allostatic state in athletic physiological response. During acute, chronic, and overload training phases, the thyroid-microbiome-mitochondrial axis operates bidirectionally, coupling microbial signaling with endocrine and mitochondrial networks to mediate metabolic response to exercise. This response shows interindividual variability driven by sex, age, genetics, and nutritional status, shaping the boundaries between adaptive efficiency and allostatic overload. Microbial metabolites, such as short-chain fatty acids (SCFA) and secondary bile acids, modulate deiodinase activity, bile acid recycling, and mitochondrial biogenesis through AMPK-SIRT1-PGC1α signaling, optimizing substrate use and thermogenic capacity. Thyroid hormones reciprocally regulate gut motility, luminal pH, and bile secretion, maintaining microbial diversity and mineral absorption. Under excessive training load, caloric restriction, or inadequate recovery, this network becomes transiently unbalanced: SCFA synthesis decreases, D3 activity increases, and a reversible low-T<sub>3</sub>/high-rT<sub>3</sub> pattern emerges, resembling early Hashimoto- or Graves-like responses. Selenium-, zinc-, and iron-dependent enzymes form the redox link between microbial metabolism, thyroid control, and mitochondrial defense. In conclusion, the thyroid-microbiome-mitochondrial axis provides the physiological basis for the allostatic state, a reversible phase of dynamic recalibration that integrates training, nutrition, environmental stress, and circadian cues to sustain thyroid activity, mitochondrial efficiency, and microbial balance. This integrative perspective supports precision interventions to optimize recovery and performance in athletes.",Odriozola A; González A; Odriozola I; Corbi F; Álvarez-Herms J,Nutrients,2025,https://pubmed.ncbi.nlm.nih.gov/41515177/,1,0,0,0,0,0
41511307,Microbiota-Mediated Bile Acid Metabolism as a Mechanistic Framework for Precision Nutrition in Gastrointestinal and Metabolic Diseases.,"Gut microbiota play a central role in shaping bile acid (BA) metabolism through community-specific capacities for deconjugation, dehydroxylation, and other transformation reactions. Distinct microbiome compositional patterns-often referred to as enterotype-like clusters-correspond to reproducible functional profiles that generate unique BA metabolic signatures with relevance for metabolic and gastrointestinal health. This narrative review synthesizes current evidence describing the interplay between microbial composition, BA metabolism, and metabolic dysfunction. A structured literature search was conducted in PubMed, Web of Science, EMBASE, and Scopus using predefined keywords related to bile acids, microbiome composition, metabolic disorders, and enterotypes. Studies were screened for human clinical relevance and mechanistic insights into BA-microbiome interactions. Across the evidence base, <i>Bacteroides-</i>, <i>Prevotella</i>-, and <i>Ruminococcus</i>-associated community types consistently demonstrate different BA transformation capacities that influence secondary BA production and downstream host signaling through <i>FXR</i> and <i>TGR5</i>. These differences are linked to variation in metabolic dysfunction-associated steatotic liver disease, obesity, type 2 diabetes, inflammatory bowel disease, and colorectal cancer. Host genetic variations in BA synthesis, transport, and signaling further modify these microbiome-BA interactions, contributing to the heterogeneity of dietary intervention responses. Overall, the literature supports a model in which microbiome-derived BA profiles act as metabolic phenotypes that shape host lipid and glucose homeostasis, inflammation, and gut-liver axis integrity. Emerging clinical applications include microbiome-stratified dietary strategies, targeted probiotics with defined BA-modifying functions, and therapeutic approaches that align BA-modulating interventions with an individual's microbial metabolic capacity. Establishing integrated biomarker platforms combining microbiome clustering with BA profiling will be essential for advancing precision nutrition and personalized management of metabolic and gastrointestinal diseases.",Kang S; Jeong DY; Seo J; Daily JW; Park S,Cells,2025,https://pubmed.ncbi.nlm.nih.gov/41511307/,1,0,0,0,0,0
41502883,Exploring the role of the gut microbiome in pediatric gastrointestinal and neurological health.,"The gut microbiome, a complex ecosystem of microorganisms that inhabit the gastrointestinal (GI) tract, is now understood to be a central regulator of pediatric health and development. This review discusses its centrality in GI and neurological outcomes, with a particular focus on the devastating effects of malnutrition. It also discusses how microbial homeostasis (dysbiosis), especially that induced by protein-energy and micronutrient deficiencies, interferes with nutrient absorption, enhances intestinal inflammation, and alters gut-brain communication. Dysbiosis is mechanistically connected to the pathogenesis and severity of other pediatric disorders, such as inflammatory bowel disease (IBD), autism spectrum disorder (ASD), and attention-deficit/hyperactivity disorder (ADHD). The most important pathways of gut dysbiosis-related disease mechanisms. include the altered production of microbial metabolites such as short-chain fatty acids (SCFAs), impaired gut barrier integrity (""leaky gut""), and disrupted immune and neuroendocrine signaling. To address these issues, this article outlines potential therapeutic solutions that seek to restore microbial balance. Targeted probiotic and prebiotic supplementation, dietary interventions, and the emerging field of precision nutrition, which enables interventions to be tailored based on a child's individual microbiome and genetic makeup, are also mentioned as possible ways to improve the GI and neurological health of malnourished children. Learning how these interactions between the gut microbiome, nutrition, and the gut-brain axis (GBA). Work could revolutionize the development of new treatments for preventing and treating pediatric diseases caused by microbial imbalances.",Zhang C; Lin G; Lu X; Yu X,Translational pediatrics,2025,https://pubmed.ncbi.nlm.nih.gov/41502883/,1,0,0,0,0,0
41482235,The Mediating Role of the Gut Microbiome in the Nutritional Prevention of Cancer.,"The concept of food as medicine is gaining renewed importance in oncology, with growing recognition that diet is not only supportive care but also a mechanistically informed intervention for cancer treatment. However, the biological basis linking nutrition to cancer outcomes has remained incomplete until recent advances positioned the gut microbiome as the missing link. Recent research has highlighted the gut microbiome as a key mediator, acting as a biochemical and immunological bridge that transforms dietary compounds into metabolites, influencing inflammation, immune function, and carcinogenesis. This perspective shifts nutrition from a supportive measure to an active, evidence-based strategy in cancer prevention. In this review, we highlight how specific foods, nutrients, and microbial consortia contribute to anticancer effects, while also identifying research gaps related to causality, multiomics integration, and the need to account for global dietary and genetic diversity.",Chambial P; Thakur N; Kumar U; Gupta S,The Journal of nutrition,2025,https://pubmed.ncbi.nlm.nih.gov/41482235/,1,0,0,0,0,0
41471872,Dietary Modulation of the Gut Microbiota in Dogs and Cats and Its Role in Disease Management.,"Food has a massive influence on the gut microbiota and is one of the most useful therapeutic levers in disease. Recent developments have highlighted how macronutrient balance, food format, and functional ingredients can regulate microbial diversity, metabolism, and host physiology in companion animals such as dogs and cats. This narrative review condenses evidence on the bidirectional gut microbiota-diet connection and on nutritional therapy for gastrointestinal, metabolic, renal, hepatic, and immune-mediated disorders. Protein-based diets including high or hydrolyzed protein, omega-3 acids, fermentative fiber, and probiotics can positively affect microbial composition, stimulate short-chain fatty acid synthesis, and enhance intestinal barrier functions. Conversely, excess fats or refined carbohydrates may cause dysbiosis, inflammation, and metabolic imbalances. Numerous studies have shown that therapeutic nutrition-e.g., low-protein renoprotective, hepatoprotective antioxidants, and allergen-elimination diets-holds enormous potential for treatment. In addition, fecal microbiota transplantation (FMT) can be used as an additive therapy for resistant gastrointestinal illnesses. Despite these developments, constraints remain in terms of standardization, study duration, and species-specific data, especially for cats. This review underscores dietary modification as a clinically actionable tool for microbiota-targeted therapy and calls for integrative, multi-omics research to translate microbiome modulation into precision nutrition for companion animals.",Yang B; Zhong S; Wang J; Yu W,Microorganisms,2025,https://pubmed.ncbi.nlm.nih.gov/41471872/,1,0,0,0,0,0
41470907,S-Equol as a Gut-Derived Phytoestrogen Targeting Estrogen Receptor β: A Promising Bioactive Nutrient for Bone Health in Aging Women and Men: A Narrative Review.,"<b>Background/Objectives</b>: Osteoporosis is highly prevalent and contributes substantially to morbidity and mortality, yet long-term concerns about pharmacologic therapies leave a major treatment gap. Soy isoflavones have been investigated as safer alternatives, but results across trials are inconsistent. A key unresolved issue is the equol-producer phenotype, the gut microbial ability to convert daidzein to S-equol, the most bioactive isoflavone metabolite, which may explain much of this variability. This narrative review synthesizes mechanistic, translational, and clinical evidence to clarify the potential skeletal relevance of S-equol. <b>Methods</b>: Literature was identified through PubMed and Scopus searches (January 2000-October 2025) for experimental, mechanistic, and clinical studies examining S-equol, estrogen receptor β (ERβ), and bone metabolism, with emphasis on equol-producing status, bone strength and bone microarchitecture. <b>Results</b>: S-equol acts as a high-affinity ERβ agonist with antioxidant and anti-inflammatory properties but lacks the carcinogenic or thrombotic risks linked to ERα activation. In estrogen-deficient rodent models, S-equol improves trabecular bone volume by 10-20%, increases trabecular number, and enhances biomechanical strength. These findings align with preclinical evidence demonstrating that S-equol preserves trabecular microarchitecture, enhances bone strength, and reduces bone turnover. A limited number of human trials show reductions in bone resorption by 20% at a daily dose of 10 mg S-equol. In contrast, trials of soy isoflavones in humans have produced inconsistent findings, partly because of substantial variability in equol-producer phenotype among participants and the reliance on dual-energy X-ray absorptiometry, which cannot distinguish trabecular from cortical compartments. Advanced bone imaging and microbiome-informed approaches enable the precise evaluation of S-equol's skeletal effects on trabecular bone and cortical bone, separately. <b>Conclusions</b>: S-equol represents a promising model for ""precision nutrition,"" where microbiome, hormonal, and host factors converge with potential to prevent age-related bone fragility. Rigorous trials that integrate microbiome phenotyping and advanced imaging are needed to validate this approach, translate mechanistic promise into clinical benefit, and better define safety.",Sekikawa A; Weaver A; Mroz K; Heilmann NZ; Madrid Fuentes DA; Koltun KJ; Carlson LJ; Cattell KL; Li M; Li J; Hughes TM; Strotmeyer E; Nindl B; Cauley JA,Nutrients,2025,https://pubmed.ncbi.nlm.nih.gov/41470907/,1,0,0,0,0,0
41470779,Sex-Specific Diet-Microbiota Interactions in Ageing: Implications for Healthy Longevity.,"<b>Background/Objectives</b>: Diet-microbiota interactions shape ageing; however, their sex-specific dimensions remain poorly defined. Human studies rarely stratify analyses by sex, while most evidence of sex-dependent microbial and metabolic responses comes from preclinical models. This review synthesizes current findings on the sex-specific pathways linking diet, microbiota, and healthy ageing. <b>Methods</b>: A narrative review was conducted by integrating human observational studies, randomized controlled trials, and mechanistic animal research. Evidence was organized into four domains: (1) age-related changes in gut microbial composition; (2) microbiota-derived metabolites; (3) dietary patterns and functional nutrients; and (4) sex-specific endocrine and immunometabolism interactions influenced by the gut microbiota. <b>Results</b>: Ageing is characterized by dysbiosis, loss of short-chain fatty acid (SCFA)-producing taxa, expansion of <i>Proteobacteria</i>, and reduced production of key metabolites including butyrate, indoles, and polyamines. Dietary fiber, polyphenols, omega-3 fatty acids, and plant-based proteins help restore these pathways and mitigate inflammaging. Sex differences persist into later life: women show reduced estrobolome activity and SCFA decline after menopause, whereas men display higher levels of pro-atherogenic metabolites such as trimethylamine N-oxide (TMAO). Nutritional interventions, probiotics, and microbial metabolites exhibit sex-dependent responses in both human and animal studies. <b>Conclusions</b>: Diet-microbiota interactions shape ageing outcomes through sex-specific metabolic, hormonal, and immunological pathways. Incorporating sex as a biological variable is essential for developing personalized, nutrition-based strategies to support healthy ageing.",Herndez-Acosta J; Tovar AR; Torres N,Nutrients,2025,https://pubmed.ncbi.nlm.nih.gov/41470779/,1,0,0,0,0,0
