PMID,Title,Abstract,Authors,Journal,Year,URL,Review,SystematicReview,ClinicalTrial,MetaAnalysis,RCT,LongitudinalStudy
41613379,Dietary and complementary oral supplements for the management of chronic diseases in children: a systematic review.,"Chronic diseases in childhood and adolescence represent a growing global challenge, with families often seeking complementary strategies beyond pharmacological treatment. This systematic review aimed to evaluate the efficacy and safety of dietary and oral supplements in pediatric chronic diseases. The review was conducted in accordance with PRISMA guidelines. A systematic search of PubMed, Scopus, Web of Science, and Cochrane Library was performed (2005-2025). Eligible studies enrolled children and adolescents (<18 years) with chronic diseases and assessed oral dietary supplements against placebo, standard care, or no intervention. Thirteen studies were included. The studies investigated autism spectrum disorder (ASD), functional gastrointestinal disorders, cystic fibrosis (CF), type 1 diabetes (T1D), bronchopulmonary dysplasia (BPD) and juvenile idiopathic arthritis. Interventions included probiotics, omega-3/6 fatty acids, vitamins, minerals, glutathione, Kre-Celazine® and Dimercaptosuccinic Acid (DMSA). Most supplements demonstrated measurable bioactivity, such as modulation of the gut microbiota, changes in inflammatory markers, or improvements in functional indices, but clinical benefits were often inconsistent or limited to subgroups. Safety was generally favorable for probiotics, polyunsaturated fatty acids, magnesium, zinc, and vitamin A, whereas DMSA chelation raised significant safety concerns. Dietary and oral supplements show promise as supportive interventions in pediatric chronic diseases but cannot yet be recommended for systematic clinical use. Larger multicenter trials with longer follow-up, standardized endpoints, and predictive biomarkers are needed to identify responder subgroups and establish evidence-based recommendations.",Inchingolo AD; Marinelli G; Limongelli L; Inchingolo F; Favia G; Ferrante L; Di Noia A; Maspero C; Palermo A; Inchingolo AM; Dipalma G,Frontiers in pediatrics,2026,https://pubmed.ncbi.nlm.nih.gov/41613379/,1,0,0,0,0,1
41539774,Legumes and fermented legume products as dietary supplements: a focus on glucose and lipid metabolism mechanisms and product development.,"Glycolipid metabolic disorders, including type 2 diabetes (T2D), obesity, and dyslipidemia, are escalating public health concerns worldwide, demanding urgent, sustainable, and safer interventions. While pharmacological therapies are widely used, growing attention is now directed toward preventive and adjunctive strategies that sustainably manage these conditions. Dietary interventions, particularly those involving functional foods, have gained prominence for their potential to prevent and mitigate disease progression. Among these, legumes, including soybeans, lentils, peas, and their fermented products, such as natto and miso, offer notable promise. This review critically examines the molecular mechanisms through which legumes and fermented legumes regulate glucose and lipid metabolism (GLM), highlighting pathways such as AMPK activation, PI3K/Akt modulation, and inflammatory pathway suppression. Legumes exert beneficial effects on GLM by improving insulin sensitivity, modulating lipid profiles, and attenuating chronic inflammation. Fermentation further enhances these benefits by reducing antinutritional factors and generating novel bioactive compounds such as peptides and short-chain fatty acids (SCFAs) with superior bioavailability. Additionally, we explore the development of legume-based functional foods, including dietary supplements, beverages, and protein powders, analyzing current market examples and technological innovations. Future perspectives emphasize the need for deeper mechanistic studies and the advancement of clinically validated, consumer-acceptable legume-derived functional products to combat metabolic diseases effectively.",Randeni N; Luo J; Xu B,"Food research international (Ottawa, Ont.)",2025,https://pubmed.ncbi.nlm.nih.gov/41539774/,1,0,0,0,0,0
41516172,Modulation of Cardiometabolic Risk by Vitamin D and K2: Simple Supplementation or Real Drug? Uncovering the Pharmacological Properties.,"Vitamin D, traditionally regarded as a nutrient, is increasingly recognized as a pharmacologically active secosteroid with pleiotropic effects extending beyond calcium homeostasis and bone integrity. Together with vitamin K2, it participates in the fine-tuning of mineral metabolism and vascular health, potentially modulating cardiometabolic risk through intertwined endocrine and paracrine pathways. Despite widespread fortification and supplementation, vitamin D deficiency remains a major global health concern, driven by limited sun exposure, obesity, and metabolic dysfunction. Observational and mechanistic studies consistently link low serum 25(OH)D concentrations with hypertension, insulin resistance, heart failure, and increased cardiovascular mortality. At the molecular level, vitamin D exerts pharmacological actions-modulating the renin-angiotensin-aldosterone system, exerting anti-inflammatory and antifibrotic effects, and influencing endothelial and cardiomyocyte signaling. While experimental and epidemiological evidence suggests potential cardiovascular benefits, large randomized controlled trials (RCTs) provide conflicting results, particularly regarding hypertension and heart failure. However, these often-neutral results do not preclude a targeted action. On the contrary, clinical efficacy is strongly dependent on baseline deficiency status and the presence of metabolic cofactors. In this context, high-dose supplementation of Vitamin D, in combination with Vitamin K2 to prevent vascular calcification, elevates the supplement to a genuine pharmacological agent, with a distinct therapeutic potential for modulating cardiometabolic risk in selected patient subgroups. Emerging evidence supports the concept that vitamin D, when appropriately dosed and combined with K2, may act more as a low-potency pharmacological modulator than a simple nutritional supplement. This review synthesizes current mechanistic, observational, and interventional evidence, aiming to clarify whether vitamin D should be reclassified-from a micronutrient to a pharmacologically relevant agent-in cardiometabolic prevention and therapy, proposing a paradigm shift toward personalized and targeted dosing strategies, characteristic of precision pharmacology.",D'Elia S; Bottino R; Carbone A; Formisano T; Orlandi M; Sperlongano S; Castaldo P; Molinari D; Palladino A; Morello M; Titolo G; Loffredo FS; Natale F; Cirillo P; Cimmino G,International journal of molecular sciences,2025,https://pubmed.ncbi.nlm.nih.gov/41516172/,1,0,0,0,0,0
41465572,"Sarcopenia in the Aging Process: Pathophysiological Mechanisms, Clinical Implications, and Emerging Therapeutic Approaches.","In the face of population aging, sarcopenia has emerged as a significant muscle disorder characterized by the progressive loss of muscle mass, strength, and function. Chronic inflammation, oxidative stress, and mitochondrial dysfunction contribute to sarcopenia and help explain its association with comorbidities such as type 2 diabetes, obesity, and neurodegenerative diseases. Despite extensive research, there remains a need to integrate current knowledge on interventions that target these interconnected mechanisms. This review synthesizes recent evidence on the effects of resistance exercise, nutritional supplementation (high-protein intake, leucine, vitamin D, omega-3 fatty acids), and probiotic use on muscle function and inflammatory status in older adults with sarcopenia. Literature was critically analyzed to evaluate the efficacy of multicomponent strategies. The reviewed studies consistently report that combining resistance training with anti-inflammatory nutrition and targeted supplementation improves muscle strength, reduces pro-inflammatory cytokines, and supports mitochondrial function. These findings suggest that an integrated, multicomponent approach represents a promising strategy for attenuating the progression of sarcopenia and reducing its associated comorbidities.",Araújo LP; Figueiredo Godoy AC; Fortes Frota F; Barbalho Lamas C; Quesada K; Rucco Penteado Detregiachi C; Cressoni Araújo A; Miglino MA; Landgraf Guiguer E; Santos de Argollo Haber R; de Souza Bastos Mazuqueli Pereira E; Cavallari Strozze Catharin V; Cavallari Strozze Catharin V; Laurindo LF; Maria Barbalho S,International journal of molecular sciences,2025,https://pubmed.ncbi.nlm.nih.gov/41465572/,1,0,0,0,0,0
41459479,Beneficial effects of food-medicine homologous herbs for patients with diabetic kidney disease.,"Global diabetes rates are rising sharply, driving a parallel increase in diabetic kidney disease (DKD) - a key diabetic complication. This trend poses mounting public health and economic burdens worldwide. Current therapies remain inadequate, making DKD progression a pressing unmet need. This review aims to assess the efficacy and molecular mechanisms of food-medicine homologous herbs for DKD treatment. A comprehensive literature search was conducted across multiple databases (PubMed, Web of Science, Cochrane Library, and Embase) from inception to March 2025, using keywords including ""diabetic kidney disease"", and ""traditional Chinese medicine"". The search was meticulously designed to cover relevant research extensively. Data extraction focused on herb names, bioactive compounds, experimental models, therapeutic effects, and molecular targets. This review highlights 29 food-medicine homologous herbs with proven safety and efficacy in DKD. These herbs alleviate immune-inflammatory responses by modulating NF-κB, interleukins, TNF-α, chemokines, and adhesion molecules. They also reduce mitochondrial and non-mitochondrial ROS production, improving oxidative stress via Keap1/Nrf2/ARE, AMPK/SIRT, and NF-κB pathways. Renal fibrosis is suppressed through targeting fibrosis markers and regulating TGF-β/Smad and Notch signaling. Additionally, these herbs inhibit the AGEs/RAGE axis, correct gut dysbiosis, reduce apoptosis, activate autophagy, inhibit ferroptosis, and modulate microRNAs, collectively exerting renoprotective effects in DKD. Food-medicine homologous herbs demonstrate properties that align well with medical nutrition therapy principles, offering novel adjunctive therapeutic options for DKD.",Zeng Q; Wang W; Li Y; Wang M; Liu Z; Yan L; Zhan J; Wang X; Liang Y; Yu R,Frontiers in immunology,2025,https://pubmed.ncbi.nlm.nih.gov/41459479/,1,0,0,0,0,0
41459237,"The Dual Edge of zinc: linking excessive intake to obesity, diabetes, hypertension, and cardiovascular risks.","Zinc, an essential trace element, plays a pivotal role in numerous physiological processes, including antioxidant defense, immune regulation, and metabolic homeostasis. However, excessive Zn supplementation disrupts these pathways, contributing to the pathogenesis of chronic conditions such as obesity, diabetes mellitus, hypertension, and cardiovascular diseases. This systematic review explores the dual-edged nature of Zn by examining its molecular impacts, including antioxidant enzyme dysregulation, leptin receptor resistance, and inflammatory marker modulation. While optimal Zn levels confer protective benefits, such as improved insulin sensitivity and reduced oxidative stress, excessive intake triggers systemic inflammation, oxidative damage, and metabolic dysregulation. Contrasting evidence highlights dose-dependent effects and variability based on genetic and environmental factors, underscoring the need for tailored dietary guidelines. Knowledge gaps persist regarding Zn toxicity thresholds, long-term impacts, and interactions with other nutrients. Public health policies must prioritize balanced supplementation strategies to mitigate risks while leveraging Zn's therapeutic potential in chronic disease prevention. This review emphasizes the importance of precision nutrition and evidence-based approaches to optimize Zn's benefits while minimizing its adverse effects.",Das T; Ahongshangbam R; Chabungbam R; Singh KB,Acta biochimica Polonica,2025,https://pubmed.ncbi.nlm.nih.gov/41459237/,0,1,0,0,0,0
41437050,Effects of carotenoid supplementation on liver enzymes in adults: a GRADE-assessed systematic review and dose-response meta-analysis of randomized controlled trials.,"Carotenoids are known for their beneficial effects in improving chronic diseases through their antioxidant properties. However, there has been no meta-analysis on the effects of carotenoids on liver enzymes and the evidence is inconsistent. So, this study aimed to evaluate the effects of carotenoid supplementation on liver enzyme levels in adults. Through November 2024, the PubMed, Scopus and Web of Science electronic databases were searched for eligible trials evaluating the carotenoid supplementation effects on the Alanine aminotransferase (ALT), Aspartate aminotransferase (AST), Alkaline phosphatase (ALP) and Gamma-glutamyl transferase (GGT). The 95% confidence intervals (CIs) and weighted mean differences (WMDs) were calculated using the random effects model. As part of standard methods, dose-response, meta-regressions, sensitivity, and publication bias analyses were performed. Evidence certainty was assessed using GRADE (Grading of Recommendations for Assessment, Development, and Evaluation). Of the 15 studies (20 arms; n = 757), 7 included healthy participants, while 8 involved non-healthy individuals, including 4 studies on prediabetes or diabetes. Pooled estimates indicated non-significant effects of carotenoid supplementation on all enzymes including ALT (WMD: -2.25 IU/L, 95%CI: -4.84,0.34, P = 0.089), AST (WMD: -0.46 IU/L, 95%CI: -1.25,0.34, P = 0.259), ALP (WMD: -0.34 IU/L, 95%CI: -6.89,6.21, P = 0.918) and GGT (WMD: -0.43 IU/L, 95%CI: -3.06,2.21, P = 0.751) levels non-significantly. Significant reductions in ALT levels occurred in < 12 weeks (P = 0.028), BMI ≥ 25 (P = 0.045), and among non-healthy participants (P = 0.015). AST levels were significantly reduced in non-healthy participants (P = 0.003) with ages > 50 (P = 0.003) as well as GGT levels (P = 0.011) in non-healthy participants. Carotenoid supplementation might be beneficial in reducing liver enzymes, especially in non-healthy participants and in those with a BMI ≥ 25 kg/m<sup>2</sup>. However, more trials with standard methods are required. CRD42024612956.",Heydari SS; Bideshki MV; Akbarzadeh M; Behzadi E; Behzadi M,BMC complementary medicine and therapies,2025,https://pubmed.ncbi.nlm.nih.gov/41437050/,0,1,0,1,0,0
41435994,Consensus statement on vitamin D role in metabolic health.,"The 8th International Conference Controversies in Vitamin D, held in September 2024, convened leading experts to address the multifaceted role of vitamin D in human health. Key discussions focused on its influence on metabolic health, including effects on sarcopenia, muscle function, and energy metabolism, as well as its role in obesity, cardiovascular health, and diabetes. Preclinical evidence was presented, suggesting a pivotal role of vitamin D in regulating muscle function and repair, potentially preventing sarcopenia. A relationship between low vitamin D (25[OH]D) concentrations and increased risk of cardiovascular diseases and diabetes was supported by several preclinical and clinical studies. Vitamin D supplementation was recently demonstrated to help improve glycemia and reduce the progression to diabetes and increase the likelihood of regression to normal glucose regulation in adults with prediabetes. Despite mixed outcomes from large, population-based randomized clinical trials, the conference underscored the critical need for personalized research, through disease-specific clinical trials, to fully elucidate the therapeutic potential of vitamin D supplementation, particularly in chronic conditions such as cardiovascular diseases and diabetes. In conclusion, while vitamin D demonstrates considerable promise in modifying a wide array of metabolic health concerns, rigorous scientific inquiry is essential to deepen our understanding of its mechanisms as well as potential protective effects and establish evidence-based guidelines for supplementation. This growing body of work has the potential to significantly enhance clinical outcomes and improve public health strategies, calling for continued exploration and collaboration in the field of vitamin D research.",Giustina A; di Filippo L; Aleksova A; Bollerslev J; Colao AM; Dawson-Hughes B; Donini LM; Ebeling PR; Lazaretti-Castro M; Lorusso R; Luzi L; Marcocci C; Minisola S; Napoli N; Pittas AG; Rizzoli R; Rovere Querini P; Santini F; Schafer AL; Virtanen JK; Bilezikian JP,Metabolism: clinical and experimental,2025,https://pubmed.ncbi.nlm.nih.gov/41435994/,1,0,0,0,0,0
41430994,The effect of probiotic supplementation during pregnancy on pregnancy complications: An umbrella meta-analysis.,"Previous studies have suggested that probiotics might help prevent pregnancy complications, although recent meta-analyses have shown inconsistent results. To address this, an umbrella meta-analysis was conducted to investigate the impact of probiotics on pregnancy complications. PubMed and Scopus databases were systematically searched for relevant meta-analyses, spanning from their inception to April 2024. The primary outcomes of interest were risk of gestational diabetes (GDM) and preeclampsia, and the secondary outcomes were gestational weight gain, gestational age (GA) at delivery, and cesarean section. A random-effects model was utilized to combine relative risks (RR) and standardized mean differences along with their respective 95% confidence intervals (CI) for categorical and continuous outcomes, respectively. In total, 27 studies involving 83,817 participants were incorporated. Probiotics supplementation notably decreased GDM risk (RR = 0.71, 95% CI: 0.61-0.83) while raised the odds of preeclampsia (RR = 1.23, 95% CI: 1.07-1.42) and increased GA (standardized mean differences = 0.07, 95% CI: 0.02 to 0.11). Subgroup analyses supported the preventive effect on GDM across various study characteristics. High-quality studies confirmed the increased risk of preeclampsia with probiotic use. Increased GA was observed in studies of moderate quality, with lower doses and Lactobacillus and Bifidobacterium strains. Probiotics did not significantly impact cesarean section or gestational weight gain in both overall and subgroup analyses. Probiotics supplementation among pregnant women resulted in a notable reduction in the risk of GDM but an elevation in the risk of preeclampsia and an extension of GA.",Gao Q; Sun Y; Qu Y; Li F; Li P,Medicine,2025,https://pubmed.ncbi.nlm.nih.gov/41430994/,0,1,0,1,0,0
41424065,Collagen supplementation in metabolic syndrome: a narrative review unraveling the biological mechanisms and effects.,"Collagen supplementation (CS) has emerged as a promising therapeutic approach with potential benefits for managing metabolic syndrome (MetS)-related risk factors. This narrative review integrates human evidence with preclinical mechanistic insights into the metabolic actions of collagen. Anti-obesity effects are attributed to increased satiety, gastric distension, GLP-1 secretion and enhanced fatty acid oxidation mediated by PPAR-α activation and AMPK signalling. In type 2 diabetes, collagen improves glucose homeostasis by enhancing insulin sensitivity, upregulating GLUT-4 and inhibiting dipeptidyl peptidase IV (DPP-IV), thereby prolonging incretin activity (GLP-1 and GIP) and supporting β-cell function. The antihypertensive effect of collagen peptides (CP) is primarily linked to angiotensin-converting enzyme (ACE) inhibition, which reduces angiotensin II levels while promoting bradykinin-mediated vasodilation and nitric oxide release. In addition, CP has shown potential in improving lipid profiles by modulating PPAR-γ and AMPK, increasing HDL-C and reducing LDL-C and triacylglycerols. Emerging evidence also supports a role for collagen in restoring gut microbiota balance, increasing short-chain fatty acid production and reducing pro-inflammatory and oxidative pathways, contributing to systemic metabolic regulation. Overall, these findings suggest CS exerts multi-targeted benefits on MetS components through modulation of endocrine, inflammatory and metabolic pathways. Nevertheless, larger, long-term clinical trials are warranted to determine optimal dosing regimens, evaluate long-term efficacy, and further elucidate microbiota-mediated effects.",Pueyo-Arias M; López-Yoldi M; Navas-Carretero S; González-Navarro CJ; Zulet MLÁ; Milagro FI,Nutrition research reviews,2025,https://pubmed.ncbi.nlm.nih.gov/41424065/,1,0,0,0,0,0
