PMID,Title,Abstract,Authors,Journal,Year,URL,Review,SystematicReview,ClinicalTrial,MetaAnalysis,RCT,LongitudinalStudy
41539835,Edible mRNA platforms: The next frontier in precision functional foods.,"The tendency toward functional foods is moving not toward the fixed intake of nutrient supplementation but toward dynamic biological regulation. Nanocarriers of edible mRNA are disruptive technologies, whereby foods may serve as bioreactors to induce temporary, targeted delivery of genes without posing the threat of genomic integration. The review is the summation of 156 peer-reviewed papers (2022--2025) and industrial reports to evaluate the bases of the technology, translational prospects, and social implications of edible mRNA systems in functional foods. It is used in the fields of immunomodulation, metabolism regulation, scalable production and ethical nutrition. mRNA delivery structures, including plant lipid droplets and chitosan-alginate structures, facilitate oral stability and intestinal control. IL-10 mRNA has been used in the management of IBD, whereas FGF21 mRNA has been used to treat obesity, and milk exosome-based immune priming has been used. Although there are challenges such as mRNA degradation during processing and uncertain regulatory mechanisms, edible mRNA systems have benefits over traditional nutritional supplements, such as shorter developmental cycles and low costs. The given review offers a roadmap with the help of which it is possible to combine green synthesis, the principles of a circular economy, and AI-based personalization, which allows making mRNA foods potentially scalable answers to sustainable precision nutrition.",Liu Y; Wang L; Jin W; Pei J; Abd El-Aty AM,"Food research international (Ottawa, Ont.)",2025,https://pubmed.ncbi.nlm.nih.gov/41539835/,1,0,0,0,0,0
41539810,Microbial succession-potential influence mechanism on flavor modulation in spontaneously fermented Moringa oleifera leaves: An integrative multi-omics approach.,"In this study, the relationship between flavor composition and microbial succession in Moringa oleifera pickles (MOPs) at different stages of spontaneous fermentation was systematically investigated. The results demonstrated a significant increase in the content of organic acids and amino acids during fermentation including malonic acid, citric acid, valine (Val), and asparagine (Asn). These compounds not only enhanced the overall flavor profile but also provided favorable nutritional conditions that supported microbial succession. Furthermore, an integrated aroma network was established through the combined application of gas chromatography-mass spectrometry (GC-MS) and gas chromatography-ion mobility spectrometry (GC-IMS). GC-MS identified key aroma-active compounds such as ethyl caproate (fruity note), 3-hexenal (green, grassy note), and 2-phenylethanol (floral, rosy note). Complementarily, GC-IMS confirmed that esters, alcohols, and terpenes were the major contributors to fruit-like, mushroom-like, and fresh herbal aromas, indicating their critical role as flavor-modulating compounds throughout fermentation. Metagenomic analysis revealed Corynebacterium, Escherichia, Pseudomonas, Xanthomonas, and Pantoea as the dominant microbial genera involved in fermentation. These microbes primarily participated in amino acid, carbohydrate, and nucleotide metabolism and exhibited a close association with the formation of key flavor compounds. The strong influence of microbial succession on flavor evolution is likely driven by the observed correlations between microbial taxa and volatile organic compounds (VOCs). These correlations may stem from a series of complex ecological and metabolic interactions, including substrate competition, niche adaptation, and upstream-downstream dependencies within microbial metabolic networks. This study provides a theoretical foundation for the quality control of MOPs and the mitigation of potential pathogenic microorganisms, thereby supporting its application in enhancing product quality and consumer sensory satisfaction in the pickle industry.",Liu Y; Guo Y; Mu H; Aaqil M; Zhang F; Zheng J; Sheng J; Tian Y; Zhao C,"Food research international (Ottawa, Ont.)",2025,https://pubmed.ncbi.nlm.nih.gov/41539810/,0,0,0,0,0,0
41515222,Influence of APOE4 Genotypes on Nutrient-Cognition Relationship in Taiwanese Older Adults: Longitudinal Findings from the HALST.,"<b>Background</b>: Older adults carrying the APOE4 allele are at elevated risk for cognitive decline. To clarify how dietary patterns may influence cognitive deterioration in this high-risk group, further investigation is needed. <b>Methods</b>: This prospective cohort study followed 1420 Taiwanese adults aged 65 years or older. Dietary intake was assessed using a validated food frequency questionnaire, and cognitive function was measured with the Mini-Mental State Examination (MMSE). Changes in 31 nutrients between two survey waves were used to simulate the effect of dietary shifts, and dietary patterns were derived using principal component analysis (PCA) with oblimin-derived scores. The analysis was further stratified by APOE genotype, and multiple linear regression models adjusted for demographic and health-related factors were applied to evaluate the associations between dietary changes and cognitive function. <b>Results</b>: Positive associations between dietary change and MMSE scores were observed only among APOE4 carriers. In this group, lower adherence to a plant-based pattern (TC1, estimate = 0.115, 95% CI = 0.029, 0.201) and higher adherence to an animal- and fat-rich pattern (TC2, estimate = -0.119, 95% CI = -0.202, -0.035) were both associated with poorer cognitive performance. <b>Conclusions</b>: APOE4 carriers may be particularly sensitive to dietary patterns, suggesting that genotype-informed nutritional strategies could help preserve cognitive health in older adults.",Lai RH; Yang SJ; Hsu PY; Chen YC; Chuang SC; Hsu CC; Hsiung CA; Kuo FL,Nutrients,2025,https://pubmed.ncbi.nlm.nih.gov/41515222/,0,0,0,0,0,1
41515177,Thyroid-Microbiome Allostasis and Mitochondrial Performance: An Integrative Perspective in Exercise Physiology.,"Exercise acts as a physiological stimulus, requiring precise coordination among endocrine, microbial, and mitochondrial systems to maintain metabolic stability through allostatic regulation. The goal of the article is to integrate multidisciplinary evidence to characterize the thyroid-microbiome-mitochondrial axis as a key regulator of the allostatic state in athletic physiological response. During acute, chronic, and overload training phases, the thyroid-microbiome-mitochondrial axis operates bidirectionally, coupling microbial signaling with endocrine and mitochondrial networks to mediate metabolic response to exercise. This response shows interindividual variability driven by sex, age, genetics, and nutritional status, shaping the boundaries between adaptive efficiency and allostatic overload. Microbial metabolites, such as short-chain fatty acids (SCFA) and secondary bile acids, modulate deiodinase activity, bile acid recycling, and mitochondrial biogenesis through AMPK-SIRT1-PGC1α signaling, optimizing substrate use and thermogenic capacity. Thyroid hormones reciprocally regulate gut motility, luminal pH, and bile secretion, maintaining microbial diversity and mineral absorption. Under excessive training load, caloric restriction, or inadequate recovery, this network becomes transiently unbalanced: SCFA synthesis decreases, D3 activity increases, and a reversible low-T<sub>3</sub>/high-rT<sub>3</sub> pattern emerges, resembling early Hashimoto- or Graves-like responses. Selenium-, zinc-, and iron-dependent enzymes form the redox link between microbial metabolism, thyroid control, and mitochondrial defense. In conclusion, the thyroid-microbiome-mitochondrial axis provides the physiological basis for the allostatic state, a reversible phase of dynamic recalibration that integrates training, nutrition, environmental stress, and circadian cues to sustain thyroid activity, mitochondrial efficiency, and microbial balance. This integrative perspective supports precision interventions to optimize recovery and performance in athletes.",Odriozola A; González A; Odriozola I; Corbi F; Álvarez-Herms J,Nutrients,2025,https://pubmed.ncbi.nlm.nih.gov/41515177/,1,0,0,0,0,0
41475244,The study of functional properties of kiwifruit peel dietary fiber and the bioactivity as well as synergetic prebiotic effects of bound phenolics in it during in vitro gastrointestinal digestion and colonic fermentation.,"The structure, functional performance of soluble and insoluble Kiwifruit (Actinidia chinensis Planch) peel dietary fiber (KPDF) as well as abundant bound phenolics (BPs) in them were systematically investigated. It turned out that KPDF conserved outstanding capacities in adsorption and cation exchange. 23 BPs were identified in KPDF, most of which were inaccessible during in vitro gastrointestinal digestion but up to 27.10 % and 57.89 % BPs were released form insoluble and soluble KPDF after 24 h and 12 h colonic fermentation, respectively. Meanwhile, KPDF promoted the reproduction of beneficial bacteria such as Prevotella, Dialister, Faecalibacterium, while reducing the abundances of harmful bacteria such as Collinsella, Dorea, and Gemmiger with BPs contributing to such features. Such results reflected the promoting effects of BPs in the prebiotic effects of functional KPDF, providing theoretical foundation for the further exploration of KPDF as functional nutritional factors in health promotion.",Hou C; Yu J; Ji M; Chen Y; Liu C; Zhang W; Yu H; Xu C; Zhou X; Sun L; Liu X; Wang Y,Food chemistry,2025,https://pubmed.ncbi.nlm.nih.gov/41475244/,0,0,0,0,0,0
41461264,Food as Medicine: Enhancing Crop Breeding and Food Processing to Shift the Gut Microbiome for Prevention and Treatment of Chronic Diseases.,"Prebiotics are useful tools for shifting the gut microbiome and metabolome to confer immune, metabolic, and preventive benefits for human disease. However, there are emerging concerns about methods for discovering optimal candidate compounds and their sustainable production for long-term success in targeting mechanisms of disease. In this perspective, we review the current state of prebiotics moving from nutrition to function in health, highlighting the opportunities for using food as medicine in treating a model disease, inflammatory bowel disease, discussing the ways crop breeding can be used to identify and improve the functional (beyond nutritional) value of a prebiotic and the critical role that food processing plays in sustaining the integrity and scalability of the prebiotic compound while influencing consumer adoption of these agents. This information supports a trajectory for the future of food as medicine to be moving from population-scale dietary guidelines to personalized or precision nutrition guidelines, from ""eat more fiber"" to ""eat this specific type of fiber that has been enhanced in and processed from this specific genotype of food crop"". This could include developing designer fibers by crop breeding to develop panels of genotypes with different fiber structures that deliver reliable shifts in the microbiome and metabolome for most patients with the targeted disease. Finally, there needs to be a commitment to sustainability of the plant-derived product so that future generations will have access to the same benefits of the food as medicine initially developed for disease prevention and treatment.",Mannon PJ; Benson AK; Schnable JC; Ding W; Juritsch AF; Rose DJ,The Journal of nutrition,2025,https://pubmed.ncbi.nlm.nih.gov/41461264/,1,0,0,0,0,0
41429531,[Research progress on precise lifestyle intervention for obesity based on genetic background].,"With the advancement of genomic technologies, precision lifestyle interventions tailored to individual genetic backgrounds have emerged as a novel approach for preventing and managing chronic diseases such as obesity. Several randomized controlled trials (RCTs) targeting obese or overweight populations have found that individuals with different genotypes exhibit varying responses to the same lifestyle intervention (gene-lifestyle intervention interactions). To date, more than 20 genes, including <i>FTO</i> and <i>MC4R</i>, have been identified to show such interactions, suggesting that genotype-based precision nutrition is a feasible approach. Based on this, some RCTs have compared the effectiveness of genotype-based precision interventions and one-fits-all interventions. However, current study results show considerable heterogeneity, and it remains inconclusive whether precision interventions are superior to one-fits-all interventions. Future studies should further explore precision intervention strategies, particularly by taking polygenic effects into account and integrating multi-omics data using methods such as machine learning, to provide new insights for precision interventions.",Li YX; Peng HX; Guo HD; Hou TJ; Zhang HY; Zheng Y; Tan YX; Zhang HD; Wu YQ; Qin XY; Wu T; Chen DF; Hu YH; Wang MY,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,2025,https://pubmed.ncbi.nlm.nih.gov/41429531/,1,0,0,0,0,0
41422458,High intestinal iron absorption induced by decreased hepcidin leads to imbalance of iron metabolism in aging mice.,"Iron homeostasis which is primarily regulated through intestinal iron absorption, is usually disrupted in the elderly. But changes of intestinal iron absorption with aging have not been elucidated. This study aims to investigate the role of intestinal iron absorption in driving age-related disruption of iron homeostasis. Male C57BL/6 J mice aged 2, 12, 18, and 24 months were utilized in this study to analyze age-related changes in systemic iron status, detect the alterations in intestinal iron absorption via Ussing Chamber, and clarify its regulatory mechanisms during aging via western blot and RT-qPCR. Results showed that iron deposition occurred in the liver, heart, brain, spleen, and kidney with age. Furthermore, intestinal iron absorption elevated in aged mice, particularly in the duodenum, which was accompanied by upregulated DMT1 and FPN. As FPN is the only known iron exporter in enterocytes, the upregulation of FPN was considered as the key factor of higher iron absorption during aging. Then factors influencing FPN expression were determined. It was found that serum hepcidin and hepatic Hamp mRNA levels significantly decreased. And a reduction of over 40% in p-SMAD1/5/8 which is a transcriptional regulator of hepcidin was observed. Overall, these findings suggested that the downregulation of p-SMAD is a key factor limiting the transcription of hepcidin during aging, then increased the expression of intestinal FPN, further resulting in increased iron absorption and iron homeostasis imbalance. This study demonstrated that dysregulation of the hepcidin production during aging is a key driver of iron homeostasis disruption in the elderly, representing a target for precision intervention.",Qiu L; Xiong W; Qin X; Zhou J; Zhu Y; Wang X,Biogerontology,2025,https://pubmed.ncbi.nlm.nih.gov/41422458/,0,0,0,0,0,0
41374081,Linking Personality Traits to Mediterranean Diet Adherence and Exploring Gene-Diet Interactions in Neuroticism.,"There is adherence to a healthy Mediterranean diet (MedDiet), but adherence varies widely. Precision nutrition is increasingly interested in individual characteristics influencing diet adherence, but few studies have examined personality traits. Our main aim was to investigate the association between personality traits and MedDiet adherence. Our secondary aims were to explore genome-wide genetic variants associated with neuroticism, including replication of previous findings, as well as to explore gene-MedDiet interactions. We analyzed participants (aged 55-75) in the PREDIMED-Plus-Valencia study and measured clinical, lifestyle, and genetic factors. The Eysenck Personality Questionnaire-Revised (EPQ-R) was used to measure neuroticism, psychoticism, and extraversion. Genotyping was undertaken, and associations with candidate SNPs, genome-wide association studies (GWAS), genetic risk scores (GRS), and gene-MedDiet interactions were explored. Neuroticism was inversely (beta = -0.09; <i>p</i> = 0.001) associated with adherence to the Mediterranean diet (MEDAS-17). Likewise, the probability of low MedDiet adherence increased neuroticism (OR: 1.27; 95% CI: 1.02-1.60; <i>p</i> = 0.031 per SD). In the GWAS for this trait, several SNPs surpassed the suggestive level of statistical significance. The most strongly associated was rs10181407-<i>NDUFA10</i> (NADH dehydrogenase 1 alpha subcomplex subunit 10) (beta = -2.39; <i>p</i> = 2.70 × 10<sup>-6</sup>). The GRS for neuroticism was significantly associated with MedDiet adherence (beta = -0.18; <i>p</i> = 0.020), increasing the causality level. We replicated some candidate SNPs, and among them, the rs2243873-<i>EHMT2</i> (euchromatic histone lysine methyltransferase 2) gene. The analysis of gene-MedDiet interactions revealed the role of these dietary modulations. Neuroticism was the personality trait most inversely associated with MedDiet adherence, suggesting its integration in precision nutrition analysis. Moreover, neuroticism-related genetics and MedDiet modulations will also be important.",Sorlí JV; Ortega-Azorín C; Coltell O; Fernández-Carrión R; Asensio EM; Portolés O; Perez-Fidalgo A; Ramirez-Sabio JB; Guillem-Saiz J; Costa JA; Gimenez-Alba IM; Barragán R; Ordovas JM; Corella D,Nutrients,2025,https://pubmed.ncbi.nlm.nih.gov/41374081/,0,0,0,0,0,0
41367416,Regulatory mechanisms of the gut microbiota-short chain fatty acids signaling axis in slow transit constipation and progress in multi-target interventions.,"Slow-transit constipation (STC) is an increasingly prevalent disorder that imposes a substantial health and economic burden. Mounting evidence highlights the ""gut microbiota-short-chain fatty acid (SCFA)-motility"" axis as a central pathophysiological link between dysbiosis and impaired colonic transit. This review synthesizes current knowledge of how SCFAs, especially acetate, propionate and butyrate, shape motility through serotonergic signaling, enteric nervous system modulation, epithelial barrier integrity and immune regulation. Particular attention is devoted to the biased-signaling properties of the SCFA receptors FFAR2 and FFAR3 (free fatty acid receptors 2 and 3, respectively), including emerging data on their heterodimerization. The article then appraises recent randomized controlled trials and meta-analyses of multi-target interventions (dietary fibers, synbiotics, postbiotics, fecal microbiota transplantation, phytochemicals, and small-molecule FFAR agonists) highlighting their efficacy, safety, and translational hurdles. Finally, the authors propose a precision-medicine framework that integrates multi-omics microbiome profiling, metabolomics, and host genetics to enable phenotype-stratified therapy. Key research gaps include limited long-term safety data, heterogeneous human cohorts and the need for large multicenter trials and machine-learning-guided responder prediction. Collectively, the review provides a roadmap for shifting STC management from symptom control to mechanism-based, personalized care.",Liu SH; Yang XF; Liang L; Song BB; Song XM; Yang YJ; Alhoot MA,Frontiers in microbiology,2025,https://pubmed.ncbi.nlm.nih.gov/41367416/,1,0,0,0,0,0
